name,size,en_name,longitude,latitude
泉州市,90,Quanzhou,118.675724,24.874452
福州市,40,Fuzhou,119.296411,26.074286
厦门市,36,Xiamen,118.08891,24.479627
晋城市,22,Jincheng,112.852022,35.491315
安庆市,21,Anqing,117.115349,30.531828
阳泉市,20,Yangquan,113.580426,37.857094
莆田市,13,Putian,119.007662,25.454202
漳州市,12,Zhangzhou,117.647298,24.515297
北京市,12,Beijing,116.407387,39.904179
汕头市,11,Shantou,116.681956,23.354152
淮北市,11,Huaibei,116.798362,33.956264
深圳市,10,Shenzhen,114.057939,22.543527
九江市,10,Jiujiang,115.95356,29.66116
抚州市,10,Fuzhou,116.358054,27.948979
杭州市,9,Hangzhou,120.210792,30.246026
广州市,9,Guangzhou,113.264499,23.130061
南昌市,9,Nanchang,115.857972,28.682976
台州市,9,Taizhou,121.42079,28.655716
惠州市,9,Huizhou,114.415587,23.112368
包头市,8,Baotou,109.95315,40.621327
石家庄市,8,Shijiazhuang,114.514976,38.042007
天津市,8,Tianjin,117.201509,39.085318
重庆市,8,Chongqing,106.550483,29.563707
梅州市,7,Meizhou,116.122046,24.288832
上饶市,7,Shangrao,117.943064,28.45513
黄山市,7,Huangshan,118.337643,29.714886
上海市,7,Shanghai,121.473667,31.230525
温州市,6,Wenzhou,120.699279,27.993849
赣州市,6,Ganzhou,114.933494,25.831139
南通市,6,Nantong,120.894522,31.981269
苏州市,6,Suzhou,120.585294,31.299758
汕尾市,6,Shanwei,115.375557,22.787204
三明市,6,Sanming,117.638919,26.263455
邢台市,6,Xingtai,114.49742,37.060227
丽水市,5,Lishui,119.923249,28.467694
长沙市,5,Changsha,112.938882,28.228304
吉林市,5,Jilin,126.549719,43.838132
承德市,4,Chengde,117.962749,40.952942
六安市,4,Lu'an,116.519729,31.735892
池州市,4,Chizhou,117.495663,30.674264
河源市,4,Heyuan,114.700215,23.744276
宁德市,4,Ningde,119.547729,26.666222
郑州市,4,Zhengzhou,113.625351,34.746303
鹤岗市,4,Hegang,130.297687,47.350659
潮州市,4,Chaozhou,116.621901,23.657662
盐城市,4,Yancheng,120.16263,33.348176
宣城市,4,Xuancheng,118.759127,30.939278
滁州市,3,Chuzhou,118.333439,32.255904
张家口市,3,Zhangjiakou,114.885895,40.768931
