source,target,weight,QWeight
晋城市,保定市,1,1
承德市,保定市,3,3
承德市,石家庄市,1,1
承德市,包头市,1,1
承德市,邢台市,3,3
承德市,晋城市,2,2
承德市,阳泉市,1,1
承德市,北京市,2,2
承德市,邯郸市,1,1
廊坊市,晋城市,3,3
廊坊市,阳泉市,2,2
廊坊市,保定市,1,1
廊坊市,汕尾市,1,1
廊坊市,北京市,1,1
九江市,北京市,1,1
北京市,保定市,1,1
四平市,松原市,2,2
四平市,延边朝鲜族自治州,2,2
四平市,通化市,1,1
四平市,长春市,1,1
四平市,沈阳市,1,1
四平市,汕尾市,1,1
呼伦贝尔市,北京市,1,1
沧州市,保定市,3,3
沧州市,石家庄市,1,1
沧州市,邢台市,2,2
沧州市,北京市,3,3
沧州市,邯郸市,1,1
张家口市,唐山市,1,1
张家口市,承德市,1,1
呼和浩特市,北京市,2,2
遵义市,北京市,1,1
通辽市,乌兰察布市,1,1
通辽市,锡林郭勒盟,1,1
商洛市,北京市,1,1
咸宁市,北京市,1,1
成都市,北京市,1,1
泉州市,福州市,1,1
泉州市,连云港市,1,1
泉州市,莆田市,1,1
吴忠市,保定市,1,1
石家庄市,保定市,3,3
石家庄市,廊坊市,1,1
石家庄市,北京市,2,2
石家庄市,邢台市,1,1
石家庄市,晋城市,1,1
石家庄市,阳泉市,1,1
娄底市,北京市,1,1
白城市,北京市,1,1
吉林市,长春市,3,3
吉林市,延边朝鲜族自治州,2,2
吉林市,通化市,2,2
吉林市,松原市,2,2
吉林市,丽江市,1,1
安阳市,北京市,1,1
安阳市,鹤壁市,1,1
安阳市,保定市,1,1
焦作市,邢台市,1,1
焦作市,晋城市,1,1
焦作市,阳泉市,1,1
焦作市,汕尾市,1,1
焦作市,北京市,1,1
长春市,晋城市,1,1
长春市,阳泉市,1,1
长春市,汕尾市,1,1
延边朝鲜族自治州,松原市,1,1
延边朝鲜族自治州,长春市,1,1
延边朝鲜族自治州,桂林市,1,1
松原市,延边朝鲜族自治州,1,1
松原市,长春市,2,2
松原市,晋城市,2,2
松原市,黑河市,1,1
松原市,北京市,1,1
松原市,吉林市,1,1
商丘市,晋城市,1,1
商丘市,阳泉市,1,1
商丘市,汕尾市,1,1
商丘市,保定市,1,1
商丘市,邢台市,1,1
鹤岗市,北京市,1,1
宿迁市,北京市,1,1
宿迁市,保定市,1,1
西安市,宝鸡市,1,1
西安市,延安市,1,1
德州市,北京市,1,1
德州市,济南市,1,1
双鸭山市,北京市,1,1
双鸭山市,天津市,1,1
秦皇岛市,邯郸市,1,1
秦皇岛市,承德市,1,1
秦皇岛市,北京市,2,2
秦皇岛市,保定市,2,2
秦皇岛市,邢台市,1,1
秦皇岛市,石家庄市,1,1
信阳市,安阳市,2,2
信阳市,邢台市,1,1
晋中市,阳泉市,1,1
嘉兴市,连云港市,1,1
嘉兴市,台州市,1,1
赣州市,保定市,1,1
赣州市,上饶市,1,1
三门峡市,泉州市,1,1
南阳市,齐齐哈尔市,1,1
南阳市,鹤壁市,1,1
南阳市,安阳市,1,1
三明市,连云港市,1,1
三明市,台州市,1,1
宜昌市,保定市,1,1
遂宁市,保定市,1,1
绵阳市,北京市,1,1
曲靖市,北京市,1,1
淮安市,北京市,1,1
鹰潭市,北京市,1,1
徐州市,北京市,1,1
阜阳市,保定市,1,1
濮阳市,保定市,1,1
亳州市,保定市,1,1
保定市,北京市,3,3
保定市,惠州市,1,1
保定市,邢台市,3,3
保定市,石家庄市,2,2
保定市,廊坊市,1,1
保定市,晋城市,1,1
保定市,阳泉市,1,1
平凉市,保定市,1,1
西双版纳傣族自治州,北京市,1,1
齐齐哈尔市,北京市,2,2
开封市,新乡市,1,1
开封市,鹤壁市,1,1
银川市,保定市,1,1
龙岩市,泉州市,1,1
龙岩市,莆田市,1,1
龙岩市,北京市,1,1
包头市,北京市,1,1
丹东市,北京市,1,1
台州市,连云港市,1,1
台州市,北京市,1,1
郑州市,洛阳市,1,1
郑州市,南昌市,1,1
许昌市,安阳市,1,1
邯郸市,邢台市,2,2
邯郸市,北京市,2,2
衡水市,北京市,2,2
衡水市,保定市,1,1
大理白族自治州,丽江市,1,1
大理白族自治州,德宏傣族景颇族自治州,1,1
大理白族自治州,昆明市,1,1
绍兴市,连云港市,1,1
绍兴市,保定市,1,1
红河哈尼族彝族自治州,北京市,1,1
玉溪市,北京市,1,1
玉溪市,保定市,1,1
盐城市,连云港市,1,1
株洲市,张家界市,1,1
株洲市,永州市,1,1
眉山市,北京市,1,1
眉山市,泉州市,1,1
无锡市,保定市,1,1
无锡市,钦州市,1,1
楚雄彝族自治州,北京市,1,1
