source,target,weight,QWeight
河源市,汕尾市,1,1
河源市,韶关市,1,1
河源市,揭阳市,1,1
河源市,江门市,1,1
晋城市,太原市,2,2
晋城市,厦门市,1,1
晋城市,西宁市,1,1
晋城市,广州市,1,1
深圳市,梅州市,1,1
深圳市,广州市,2,2
深圳市,汕尾市,2,2
深圳市,鹤岗市,1,1
深圳市,珠海市,2,2
深圳市,湛江市,1,1
温州市,江门市,1,1
温州市,惠州市,1,1
温州市,珠海市,1,1
宁波市,连云港市,1,1
宁波市,南京市,1,1
宁波市,深圳市,2,2
宁波市,上海市,1,1
宁波市,湛江市,1,1
九江市,江门市,1,1
九江市,东莞市,1,1
九江市,深圳市,1,1
九江市,广州市,1,1
云浮市,清远市,1,1
云浮市,韶关市,1,1
云浮市,汕尾市,1,1
云浮市,深圳市,1,1
云浮市,梅州市,1,1
云浮市,江门市,2,2
云浮市,惠州市,2,2
云浮市,凉山彝族自治州,1,1
云浮市,珠海市,1,1
丽水市,晋城市,1,1
丽水市,汕尾市,1,1
丽水市,阳泉市,1,1
镇江市,重庆市,1,1
镇江市,淮北市,1,1
镇江市,宿迁市,1,1
镇江市,徐州市,1,1
镇江市,汕头市,1,1
镇江市,珠海市,1,1
镇江市,东莞市,1,1
邵阳市,惠州市,1,1
邵阳市,江门市,1,1
泰州市,宿迁市,1,1
泰州市,徐州市,1,1
韶关市,深圳市,2,2
韶关市,梅州市,1,1
韶关市,汕尾市,3,3
韶关市,惠州市,3,3
韶关市,东莞市,1,1
韶关市,江门市,2,2
韶关市,珠海市,1,1
柳州市,珠海市,1,1
泸州市,深圳市,1,1
泸州市,广州市,1,1
泉州市,汕头市,1,1
泉州市,汕尾市,1,1
泉州市,潮州市,1,1
泉州市,厦门市,1,1
泉州市,台州市,1,1
泉州市,白山市,1,1
泉州市,南昌市,1,1
泉州市,杭州市,1,1
泉州市,莆田市,1,1
衢州市,阳江市,1,1
防城港市,福州市,1,1
防城港市,莆田市,1,1
防城港市,惠州市,1,1
防城港市,江门市,1,1
防城港市,玉林市,2,2
防城港市,北海市,1,1
防城港市,钦州市,1,1
防城港市,贵港市,1,1
防城港市,南宁市,1,1
常州市,淮北市,1,1
江门市,汕尾市,2,2
江门市,深圳市,3,3
江门市,梅州市,1,1
江门市,邵阳市,2,2
江门市,凉山彝族自治州,1,1
江门市,揭阳市,1,1
江门市,惠州市,4,4
江门市,榆林市,2,2
江门市,东莞市,1,1
江门市,珠海市,2,2
梅州市,揭阳市,1,1
梅州市,深圳市,1,1
梅州市,珠海市,1,1
梅州市,阳江市,1,1
萍乡市,南昌市,1,1
萍乡市,深圳市,1,1
萍乡市,厦门市,1,1
武汉市,珠海市,1,1
肇庆市,广州市,1,1
肇庆市,珠海市,3,3
肇庆市,湛江市,1,1
肇庆市,阳江市,1,1
吉安市,珠海市,1,1
海口市,惠州市,2,2
海口市,江门市,4,4
海口市,深圳市,1,1
海口市,珠海市,1,1
海口市,湛江市,1,1
双鸭山市,惠州市,1,1
双鸭山市,深圳市,1,1
双鸭山市,广州市,1,1
杭州市,北京市,1,1
杭州市,惠州市,1,1
杭州市,江门市,1,1
杭州市,珠海市,1,1
杭州市,汕尾市,1,1
湛江市,阳江市,2,2
湛江市,海口市,2,2
湛江市,广州市,2,2
湛江市,惠州市,1,1
湛江市,南通市,1,1
湛江市,江门市,4,4
湛江市,珠海市,1,1
湛江市,茂名市,1,1
湛江市,梅州市,1,1
荆门市,武汉市,1,1
抚州市,珠海市,1,1
嘉兴市,汕尾市,1,1
嘉兴市,湛江市,1,1
赣州市,北京市,1,1
赣州市,深圳市,1,1
赣州市,广州市,1,1
赣州市,汕尾市,1,1
赣州市,江门市,1,1
赣州市,珠海市,1,1
荆州市,咸宁市,1,1
荆州市,黄石市,1,1
荆州市,昆明市,1,1
荆州市,厦门市,1,1
舟山市,上海市,1,1
舟山市,惠州市,1,1
舟山市,江门市,1,1
三明市,漳州市,3,3
三明市,泉州市,2,2
三明市,揭阳市,1,1
三明市,珠海市,1,1
中山市,珠海市,7,7
中山市,芜湖市,1,1
中山市,清远市,1,1
中山市,伊犁哈萨克自治州,1,1
中山市,拉萨市,1,1
中山市,汕尾市,2,2
中山市,江门市,2,2
中山市,广州市,1,1
中山市,惠州市,1,1
中山市,攀枝花市,1,1
中山市,深圳市,3,3
中山市,晋城市,1,1
中山市,荆州市,1,1
上海市,汕尾市,3,3
上海市,惠州市,1,1
上海市,江门市,1,1
上海市,珠海市,1,1
上海市,阳江市,1,1
广州市,汕尾市,1,1
广州市,三沙市,1,1
广州市,惠州市,2,2
广州市,江门市,2,2
长沙市,岳阳市,1,1
长沙市,郴州市,1,1
长沙市,株洲市,1,1
潮州市,杭州市,1,1
潮州市,珠海市,3,3
潮州市,深圳市,2,2
潮州市,揭阳市,1,1
潮州市,惠州市,1,1
潮州市,江门市,1,1
潮州市,晋城市,1,1
潮州市,阳泉市,1,1
潮州市,汕尾市,1,1
潮州市,台州市,1,1
潮州市,梅州市,1,1
潮州市,湛江市,2,2
鹰潭市,南昌市,1,1
鹰潭市,深圳市,1,1
鹰潭市,厦门市,1,1
鹰潭市,抚州市,1,1
鹰潭市,珠海市,1,1
鹰潭市,赣州市,1,1
茂名市,揭阳市,2,2
茂名市,汕头市,1,1
茂名市,晋城市,3,3
茂名市,阳泉市,2,2
茂名市,汕尾市,2,2
茂名市,深圳市,3,3
茂名市,天津市,1,1
茂名市,盐城市,1,1
茂名市,江门市,1,1
茂名市,东莞市,1,1
茂名市,珠海市,5,5
茂名市,包头市,2,2
