name,size,en_name,longitude,latitude
珠海市,39,Zhuhai,113.576892,22.271644
江门市,34,Jiangmen,113.081548,22.578948
惠州市,33,Huizhou,114.415587,23.112368
深圳市,29,Shenzhen,114.057939,22.543527
汕尾市,24,Shanwei,115.375557,22.787204
广州市,17,Guangzhou,113.264499,23.130061
湛江市,14,Zhanjiang,110.357538,21.270108
阳江市,13,Yangjiang,111.98343,21.856853
揭阳市,11,Jieyang,116.372732,23.550968
梅州市,10,Meizhou,116.122046,24.288832
东莞市,9,Dongguan,113.751884,23.021016
厦门市,8,Xiamen,118.08891,24.479627
汕头市,7,Shantou,116.681956,23.354152
晋城市,6,Jincheng,112.852022,35.491315
上海市,6,Shanghai,121.473667,31.230525
南昌市,6,Nanchang,115.857972,28.682976
北京市,6,Beijing,116.407387,39.904179
连云港市,5,Lianyungang,119.221487,34.596639
阳泉市,5,Yangquan,113.580426,37.857094
淮北市,5,Huaibei,116.798362,33.956264
天津市,5,Tianjin,117.201509,39.085318
韶关市,4,Shaoguan,113.597324,24.810977
凉山彝族自治州,4,Liangshan Yi Autonomous Prefecture,102.267713,27.881396
徐州市,4,Xuzhou,117.283752,34.204224
泉州市,4,Quanzhou,118.675724,24.874452
潮州市,4,Chaozhou,116.621901,23.657662
莆田市,4,Putian,119.007662,25.454202
郴州市,4,Chenzhou,113.015517,25.770117
鹤岗市,3,Hegang,130.297687,47.350659
南京市,3,Nanjing,118.796624,32.059344
清远市,3,Qingyuan,113.056098,23.682064
重庆市,3,Chongqing,106.550483,29.563707
宿迁市,3,Suqian,118.275228,33.963186
台州市,3,Taizhou,121.42079,28.655716
杭州市,3,Hangzhou,120.210792,30.246026
福州市,3,Fuzhou,119.296411,26.074286
北海市,3,Beihai,109.120248,21.481305
钦州市,3,Qinzhou,108.654355,21.980894
武汉市,3,Wuhan,114.304569,30.593354
南通市,3,Nantong,120.894522,31.981269
漳州市,3,Zhangzhou,117.647298,24.515297
盐城市,3,Yancheng,120.16263,33.348176
包头市,3,Baotou,109.95315,40.621327
太原市,2,Taiyuan,112.549656,37.870451
西宁市,2,Xining,101.777795,36.616621
邵阳市,2,Shaoyang,111.467855,27.239528
白山市,2,Baishan,126.414274,41.944132
玉林市,2,Yulin,110.18097,22.654001
贵港市,2,Guigang,109.598903,23.11182
南宁市,2,Nanning,108.366407,22.8177
榆林市,2,Yulin,109.734104,38.28576
海口市,2,Haikou,110.198418,20.045805
茂名市,2,Maoming,110.925533,21.662728
抚州市,2,Fuzhou,116.358054,27.948979
赣州市,2,Ganzhou,114.933494,25.831139
荆州市,2,Jingzhou,112.24143,30.336282
咸宁市,2,Xian’ning,114.322601,29.84135
黄石市,2,Huangshi,115.038999,30.201082
昆明市,2,Kunming,102.833669,24.88149
芜湖市,2,Wuhu,118.433065,31.352614
伊犁哈萨克自治州,2,Ili Kazakh Autonomous Prefecture,81.323691,43.917106
拉萨市,2,Lhasa,91.171924,29.653491
攀枝花市,2,Panzhihua,101.71846,26.582417
三沙市,2,Sansha,112.338649,16.831004
岳阳市,2,Yueyang,113.128922,29.35648
株洲市,2,Zhuzhou,113.132783,27.828862
黔南布依族苗族自治州,2,Qiannan Buyi and Miao Autonomous Prefecture,107.522303,26.253136
邢台市,2,Xingtai,114.49742,37.060227
吉林市,2,Jilin,126.549719,43.838132
淮安市,2,Huai'an,119.113166,33.551495
永州市,2,Yongzhou,111.613482,26.419861
张家界市,2,Zhangjiajie,110.478887,29.117343
常德市,2,Changde,111.69905,29.031446
湘西土家族苗族自治州,2,Xiangxi Tujia and Miao Autonomous Prefecture,109.737428,28.312592
济南市,2,Jinan,117.120128,36.652069
泰安市,2,Tai'an,117.086963,36.201784
成都市,2,Chengdu,104.066301,30.572961
临沂市,2,Linyi,118.356464,35.103771
菏泽市,2,Heze,115.479646,35.234309
郑州市,2,Zhengzhou,113.625351,34.746303
沈阳市,2,Shenyang,123.464675,41.677576
河源市,1,Heyuan,114.700215,23.744276
温州市,1,Wenzhou,120.699279,27.993849
宁波市,1,Ningbo,121.62454,29.860258
九江市,1,Jiujiang,115.95356,29.66116
云浮市,1,Yunfu,112.044524,22.915163
丽水市,1,Lishui,119.923249,28.467694
镇江市,1,Zhenjiang,119.424441,32.188141
泰州市,1,Taizhou,119.922883,32.456692
柳州市,1,Liuzhou,109.428071,24.326442
泸州市,1,Luzhou,105.441866,28.87098
衢州市,1,Quzhou,118.859307,28.970229
防城港市,1,Fangchenggang,108.35467,21.686732
常州市,1,Changzhou,119.974092,31.811313
萍乡市,1,Pingxiang,113.887147,27.658721
肇庆市,1,Zhaoqing,112.465245,23.047747
吉安市,1,Ji'an,114.96681,27.091243
双鸭山市,1,Shuangyashan,131.141563,46.676157
荆门市,1,Jingmen,112.199009,31.035445
嘉兴市,1,Jiaxing,120.755623,30.746814
舟山市,1,Zhoushan,122.207395,29.985578
三明市,1,Sanming,117.638919,26.263455
中山市,1,Zhongshan,113.392517,22.517024
长沙市,1,Changsha,112.938882,28.228304
鹰潭市,1,Yingtan,117.039532,28.272092
佛山市,1,Foshan,113.121586,23.021351
扬州市,1,Yangzhou,119.412834,32.394404
临夏回族自治州,1,Linxia Hui Autonomous Prefecture,103.210386,35.601792
金华市,1,Jinhua,119.647265,29.079195
湖州市,1,Huzhou,120.086881,30.894178
景德镇市,1,Jingdezhen,117.184892,29.2744
齐齐哈尔市,1,Qiqihar,123.918193,47.354892
十堰市,1,Shiyan,110.798921,32.629057
龙岩市,1,Longyan,117.017362,25.075884
澳门特别行政区,1,Macau,113.543076,22.186927
马鞍山市,1,Ma'anshan,118.50685,31.668765
丹东市,1,Dandong,124.354419,40.000646
绍兴市,1,Shaoxing,120.582886,30.051549
无锡市,1,Wuxi,120.311889,31.491064
三亚市,1,Sanya,109.511709,18.252865
苏州市,1,Suzhou,120.585294,31.299758
安庆市,1,Anqing,117.115349,30.531828
阜阳市,1,Fuyang,115.814252,32.891032
宿州市,1,Suzhou,116.96419,33.647726
宣城市,1,Xuancheng,118.759127,30.939278
上饶市,1,Shangrao,117.943064,28.45513
宜昌市,1,Yichang,111.286962,30.69217
益阳市,1,Yiyang,112.355994,28.554853
眉山市,1,Meishan,103.848417,30.077113
