LONGITUDE,LATITUDE,ISSUEDATE,WIND,AIRPRESSURE,MOVESPEED,PARSED_DATE,ENGLISH_DATE
153.9,10.1,/Date(1696658400000)/,18,998,11,2023-10-07 06:00:00,"October 07, 2023 06:00"
153.7,10.1,/Date(1696669200000)/,18,998,10,2023-10-07 09:00:00,"October 07, 2023 09:00"
153.4,10.0,/Date(1696680000000)/,18,998,6,2023-10-07 12:00:00,"October 07, 2023 12:00"
153.2,9.9,/Date(1696701600000)/,18,998,9,2023-10-07 18:00:00,"October 07, 2023 18:00"
153.0,9.9,/Date(1696712400000)/,18,998,11,2023-10-07 21:00:00,"October 07, 2023 21:00"
152.8,9.9,/Date(1696723200000)/,18,998,11,2023-10-08 00:00:00,"October 08, 2023 00:00"
152.1,9.8,/Date(1696744800000)/,20,995,7,2023-10-08 06:00:00,"October 08, 2023 06:00"
151.8,9.6,/Date(1696755600000)/,20,995,14,2023-10-08 09:00:00,"October 08, 2023 09:00"
151.1,9.8,/Date(1696766400000)/,20,995,14,2023-10-08 12:00:00,"October 08, 2023 12:00"
151.0,9.9,/Date(1696788000000)/,23,990,19,2023-10-08 18:00:00,"October 08, 2023 18:00"
150.9,10.0,/Date(1696798800000)/,25,985,17,2023-10-08 21:00:00,"October 08, 2023 21:00"
150.2,10.5,/Date(1696809600000)/,28,982,17,2023-10-09 00:00:00,"October 09, 2023 00:00"
149.0,11.6,/Date(1696831200000)/,28,982,17,2023-10-09 06:00:00,"October 09, 2023 06:00"
148.8,11.7,/Date(1696842000000)/,30,980,21,2023-10-09 09:00:00,"October 09, 2023 09:00"
148.3,12.0,/Date(1696852800000)/,30,980,22,2023-10-09 12:00:00,"October 09, 2023 12:00"
147.8,12.4,/Date(1696874400000)/,33,975,24,2023-10-09 18:00:00,"October 09, 2023 18:00"
147.4,13.4,/Date(1696885200000)/,33,975,23,2023-10-09 21:00:00,"October 09, 2023 21:00"
146.6,13.6,/Date(1696896000000)/,35,970,23,2023-10-10 00:00:00,"October 10, 2023 00:00"
145.5,14.2,/Date(1696917600000)/,35,970,24,2023-10-10 06:00:00,"October 10, 2023 06:00"
145.4,14.8,/Date(1696928400000)/,35,970,23,2023-10-10 09:00:00,"October 10, 2023 09:00"
145.2,15.1,/Date(1696939200000)/,35,970,23,2023-10-10 12:00:00,"October 10, 2023 12:00"
144.5,16.1,/Date(1696960800000)/,45,945,21,2023-10-10 18:00:00,"October 10, 2023 18:00"
144.4,16.5,/Date(1696971600000)/,45,945,22,2023-10-10 21:00:00,"October 10, 2023 21:00"
144.1,17.0,/Date(1696982400000)/,52,935,20,2023-10-11 00:00:00,"October 11, 2023 00:00"
143.4,18.1,/Date(1697004000000)/,68,900,15,2023-10-11 06:00:00,"October 11, 2023 06:00"
143.2,18.5,/Date(1697014800000)/,68,900,16,2023-10-11 09:00:00,"October 11, 2023 09:00"
143.0,18.9,/Date(1697025600000)/,68,900,16,2023-10-11 12:00:00,"October 11, 2023 12:00"
142.8,19.6,/Date(1697047200000)/,68,900,18,2023-10-11 18:00:00,"October 11, 2023 18:00"
142.9,20.1,/Date(1697058000000)/,68,900,19,2023-10-11 21:00:00,"October 11, 2023 21:00"
143.0,20.6,/Date(1697068800000)/,68,900,20,2023-10-12 00:00:00,"October 12, 2023 00:00"
143.5,21.8,/Date(1697090400000)/,68,900,22,2023-10-12 06:00:00,"October 12, 2023 06:00"
143.7,22.1,/Date(1697101200000)/,68,900,28,2023-10-12 09:00:00,"October 12, 2023 09:00"
144.2,22.6,/Date(1697112000000)/,68,900,27,2023-10-12 12:00:00,"October 12, 2023 12:00"
145.3,24.0,/Date(1697133600000)/,65,905,29,2023-10-12 18:00:00,"October 12, 2023 18:00"
145.9,24.5,/Date(1697144400000)/,65,905,37,2023-10-12 21:00:00,"October 12, 2023 21:00"
146.9,25.5,/Date(1697155200000)/,62,915,43,2023-10-13 00:00:00,"October 13, 2023 00:00"
148.6,27.2,/Date(1697176800000)/,52,935,48,2023-10-13 06:00:00,"October 13, 2023 06:00"
149.7,28.1,/Date(1697187600000)/,48,945,60,2023-10-13 09:00:00,"October 13, 2023 09:00"
150.8,29.1,/Date(1697198400000)/,45,950,66,2023-10-13 12:00:00,"October 13, 2023 12:00"
153.3,31.6,/Date(1697220000000)/,40,960,68,2023-10-13 18:00:00,"October 13, 2023 18:00"
155.8,33.5,/Date(1697230800000)/,35,970,63,2023-10-13 21:00:00,"October 13, 2023 21:00"
