LONGITUDE,LATITUDE,ISSUEDATE,WIND,AIRPRESSURE,MOVESPEED,PARSED_DATE,ENGLISH_DATE
152.0,17.9,/Date(1692910800000)/,18,998,29,2023-08-24 21:00:00,"August 24, 2023 21:00"
154.4,18.5,/Date(1692921600000)/,18,998,29,2023-08-25 00:00:00,"August 25, 2023 00:00"
155.5,19.8,/Date(1692943200000)/,20,995,31,2023-08-25 06:00:00,"August 25, 2023 06:00"
155.7,21.6,/Date(1692954000000)/,20,995,30,2023-08-25 09:00:00,"August 25, 2023 09:00"
155.5,22.0,/Date(1692964800000)/,20,995,31,2023-08-25 12:00:00,"August 25, 2023 12:00"
155.0,22.6,/Date(1692986400000)/,20,995,38,2023-08-25 18:00:00,"August 25, 2023 18:00"
154.1,23.7,/Date(1692997200000)/,20,995,33,2023-08-25 21:00:00,"August 25, 2023 21:00"
154.0,24.2,/Date(1693008000000)/,20,995,38,2023-08-26 00:00:00,"August 26, 2023 00:00"
153.0,26.1,/Date(1693029600000)/,23,990,44,2023-08-26 06:00:00,"August 26, 2023 06:00"
152.0,27.0,/Date(1693040400000)/,25,985,46,2023-08-26 09:00:00,"August 26, 2023 09:00"
151.4,27.4,/Date(1693051200000)/,25,985,50,2023-08-26 12:00:00,"August 26, 2023 12:00"
149.4,29.3,/Date(1693072800000)/,25,985,46,2023-08-26 18:00:00,"August 26, 2023 18:00"
148.7,30.3,/Date(1693083600000)/,25,985,43,2023-08-26 21:00:00,"August 26, 2023 21:00"
147.4,31.5,/Date(1693094400000)/,28,982,42,2023-08-27 00:00:00,"August 27, 2023 00:00"
145.8,33.7,/Date(1693116000000)/,30,980,34,2023-08-27 06:00:00,"August 27, 2023 06:00"
145.2,34.7,/Date(1693126800000)/,30,980,29,2023-08-27 09:00:00,"August 27, 2023 09:00"
144.6,35.7,/Date(1693137600000)/,30,980,26,2023-08-27 12:00:00,"August 27, 2023 12:00"
144.2,37.5,/Date(1693159200000)/,25,985,24,2023-08-27 18:00:00,"August 27, 2023 18:00"
144.4,37.7,/Date(1693170000000)/,25,985,28,2023-08-27 21:00:00,"August 27, 2023 21:00"
144.6,38.6,/Date(1693180800000)/,25,985,29,2023-08-28 00:00:00,"August 28, 2023 00:00"
145.5,39.8,/Date(1693202400000)/,25,985,35,2023-08-28 06:00:00,"August 28, 2023 06:00"
146.8,40.3,/Date(1693213200000)/,23,990,38,2023-08-28 09:00:00,"August 28, 2023 09:00"
148.0,40.5,/Date(1693224000000)/,23,990,39,2023-08-28 12:00:00,"August 28, 2023 12:00"
149.5,40.9,/Date(1693245600000)/,20,992,47,2023-08-28 18:00:00,"August 28, 2023 18:00"
152.5,40.0,/Date(1693256400000)/,18,995,45,2023-08-28 21:00:00,"August 28, 2023 21:00"
