LONGITUDE,LATITUDE,ISSUEDATE,WIND,AIRPRESSURE,MOVESPEED,PARSED_DATE,ENGLISH_DATE
132.8,13.9,/Date(1689897600000)/,18,998,9,2023-07-21 00:00:00,"July 21, 2023 00:00"
132.7,13.9,/Date(1689919200000)/,18,998,9,2023-07-21 06:00:00,"July 21, 2023 06:00"
132.7,13.9,/Date(1689930000000)/,18,998,11,2023-07-21 09:00:00,"July 21, 2023 09:00"
132.5,13.9,/Date(1689940800000)/,18,998,12,2023-07-21 12:00:00,"July 21, 2023 12:00"
132.2,14.0,/Date(1689962400000)/,18,998,15,2023-07-21 18:00:00,"July 21, 2023 18:00"
132.2,14.1,/Date(1689973200000)/,18,998,15,2023-07-21 21:00:00,"July 21, 2023 21:00"
131.8,14.2,/Date(1689984000000)/,18,998,12,2023-07-22 00:00:00,"July 22, 2023 00:00"
130.7,14.4,/Date(1690005600000)/,18,998,10,2023-07-22 06:00:00,"July 22, 2023 06:00"
130.5,14.4,/Date(1690016400000)/,20,995,9,2023-07-22 09:00:00,"July 22, 2023 09:00"
130.4,14.4,/Date(1690027200000)/,20,995,9,2023-07-22 12:00:00,"July 22, 2023 12:00"
130.1,14.5,/Date(1690038000000)/,20,995,10,2023-07-22 15:00:00,"July 22, 2023 15:00"
129.9,14.6,/Date(1690048800000)/,23,990,10,2023-07-22 18:00:00,"July 22, 2023 18:00"
129.5,14.7,/Date(1690059600000)/,25,985,13,2023-07-22 21:00:00,"July 22, 2023 21:00"
128.8,14.8,/Date(1690070400000)/,25,985,10,2023-07-23 00:00:00,"July 23, 2023 00:00"
128.5,14.8,/Date(1690081200000)/,28,982,12,2023-07-23 03:00:00,"July 23, 2023 03:00"
128.2,14.8,/Date(1690092000000)/,28,982,12,2023-07-23 06:00:00,"July 23, 2023 06:00"
128.0,14.8,/Date(1690102800000)/,33,975,11,2023-07-23 09:00:00,"July 23, 2023 09:00"
127.8,15.0,/Date(1690113600000)/,35,970,11,2023-07-23 12:00:00,"July 23, 2023 12:00"
127.4,15.2,/Date(1690124400000)/,38,965,11,2023-07-23 15:00:00,"July 23, 2023 15:00"
127.1,15.2,/Date(1690135200000)/,38,965,12,2023-07-23 18:00:00,"July 23, 2023 18:00"
127.0,15.4,/Date(1690146000000)/,40,960,13,2023-07-23 21:00:00,"July 23, 2023 21:00"
126.6,15.4,/Date(1690156800000)/,42,955,13,2023-07-24 00:00:00,"July 24, 2023 00:00"
126.5,15.5,/Date(1690167600000)/,48,945,15,2023-07-24 03:00:00,"July 24, 2023 03:00"
126.3,15.7,/Date(1690178400000)/,48,945,18,2023-07-24 06:00:00,"July 24, 2023 06:00"
126.1,16.2,/Date(1690189200000)/,48,945,15,2023-07-24 09:00:00,"July 24, 2023 09:00"
125.8,16.5,/Date(1690200000000)/,52,935,18,2023-07-24 12:00:00,"July 24, 2023 12:00"
125.3,16.7,/Date(1690210800000)/,55,930,18,2023-07-24 15:00:00,"July 24, 2023 15:00"
125.1,16.9,/Date(1690221600000)/,55,930,18,2023-07-24 18:00:00,"July 24, 2023 18:00"
124.9,17.2,/Date(1690232400000)/,58,925,20,2023-07-24 21:00:00,"July 24, 2023 21:00"
124.6,17.6,/Date(1690243200000)/,62,915,18,2023-07-25 00:00:00,"July 25, 2023 00:00"
124.0,18.0,/Date(1690254000000)/,62,915,18,2023-07-25 03:00:00,"July 25, 2023 03:00"
123.8,18.2,/Date(1690264800000)/,62,915,18,2023-07-25 06:00:00,"July 25, 2023 06:00"
123.3,18.6,/Date(1690275600000)/,62,915,15,2023-07-25 09:00:00,"July 25, 2023 09:00"
122.8,18.8,/Date(1690286400000)/,60,920,12,2023-07-25 12:00:00,"July 25, 2023 12:00"
122.2,18.9,/Date(1690297200000)/,58,925,12,2023-07-25 15:00:00,"July 25, 2023 15:00"
121.6,19.0,/Date(1690308000000)/,58,925,12,2023-07-25 18:00:00,"July 25, 2023 18:00"
121.3,18.8,/Date(1690318800000)/,58,925,13,2023-07-25 21:00:00,"July 25, 2023 21:00"
121.3,18.8,/Date(1690329600000)/,58,925,13,2023-07-26 00:00:00,"July 26, 2023 00:00"
121.1,19.0,/Date(1690340400000)/,55,930,13,2023-07-26 03:00:00,"July 26, 2023 03:00"
121.0,19.3,/Date(1690351200000)/,55,930,13,2023-07-26 06:00:00,"July 26, 2023 06:00"
120.9,19.4,/Date(1690354800000)/,55,930,13,2023-07-26 07:00:00,"July 26, 2023 07:00"
120.8,19.4,/Date(1690358400000)/,55,930,13,2023-07-26 08:00:00,"July 26, 2023 08:00"
120.7,19.4,/Date(1690362000000)/,52,935,13,2023-07-26 09:00:00,"July 26, 2023 09:00"
120.6,19.4,/Date(1690365600000)/,52,935,13,2023-07-26 10:00:00,"July 26, 2023 10:00"
120.6,19.5,/Date(1690369200000)/,52,935,13,2023-07-26 11:00:00,"July 26, 2023 11:00"
120.6,19.6,/Date(1690372800000)/,52,935,13,2023-07-26 12:00:00,"July 26, 2023 12:00"
120.6,19.7,/Date(1690376400000)/,52,935,13,2023-07-26 13:00:00,"July 26, 2023 13:00"
120.6,19.8,/Date(1690380000000)/,52,935,13,2023-07-26 14:00:00,"July 26, 2023 14:00"
120.4,19.9,/Date(1690383600000)/,52,935,13,2023-07-26 15:00:00,"July 26, 2023 15:00"
120.1,20.0,/Date(1690390800000)/,52,935,11,2023-07-26 17:00:00,"July 26, 2023 17:00"
120.0,20.0,/Date(1690394400000)/,52,935,12,2023-07-26 18:00:00,"July 26, 2023 18:00"
120.0,20.0,/Date(1690398000000)/,52,935,12,2023-07-26 19:00:00,"July 26, 2023 19:00"
120.0,20.1,/Date(1690401600000)/,52,935,12,2023-07-26 20:00:00,"July 26, 2023 20:00"
120.0,20.1,/Date(1690405200000)/,50,940,13,2023-07-26 21:00:00,"July 26, 2023 21:00"
120.0,20.1,/Date(1690408800000)/,50,940,13,2023-07-26 22:00:00,"July 26, 2023 22:00"
120.0,20.2,/Date(1690412400000)/,50,940,13,2023-07-26 23:00:00,"July 26, 2023 23:00"
119.9,20.5,/Date(1690416000000)/,50,940,13,2023-07-27 00:00:00,"July 27, 2023 00:00"
119.8,20.7,/Date(1690419600000)/,50,940,13,2023-07-27 01:00:00,"July 27, 2023 01:00"
119.7,20.8,/Date(1690423200000)/,50,940,13,2023-07-27 02:00:00,"July 27, 2023 02:00"
119.5,20.9,/Date(1690426800000)/,50,940,15,2023-07-27 03:00:00,"July 27, 2023 03:00"
119.3,20.9,/Date(1690430400000)/,50,940,15,2023-07-27 04:00:00,"July 27, 2023 04:00"
119.3,21.0,/Date(1690434000000)/,50,940,15,2023-07-27 05:00:00,"July 27, 2023 05:00"
119.3,21.1,/Date(1690437600000)/,50,940,18,2023-07-27 06:00:00,"July 27, 2023 06:00"
119.3,21.2,/Date(1690441200000)/,50,940,18,2023-07-27 07:00:00,"July 27, 2023 07:00"
119.3,21.3,/Date(1690444800000)/,50,940,18,2023-07-27 08:00:00,"July 27, 2023 08:00"
119.2,21.4,/Date(1690448400000)/,52,935,18,2023-07-27 09:00:00,"July 27, 2023 09:00"
119.2,21.5,/Date(1690452000000)/,52,935,18,2023-07-27 10:00:00,"July 27, 2023 10:00"
119.2,21.6,/Date(1690455600000)/,52,935,18,2023-07-27 11:00:00,"July 27, 2023 11:00"
119.2,21.7,/Date(1690459200000)/,55,930,24,2023-07-27 12:00:00,"July 27, 2023 12:00"
119.1,21.9,/Date(1690462800000)/,55,930,24,2023-07-27 13:00:00,"July 27, 2023 13:00"
119.1,22.0,/Date(1690466400000)/,55,930,24,2023-07-27 14:00:00,"July 27, 2023 14:00"
119.1,22.2,/Date(1690470000000)/,58,925,26,2023-07-27 15:00:00,"July 27, 2023 15:00"
119.1,22.4,/Date(1690473600000)/,58,925,26,2023-07-27 16:00:00,"July 27, 2023 16:00"
119.0,22.6,/Date(1690477200000)/,58,925,26,2023-07-27 17:00:00,"July 27, 2023 17:00"
119.0,22.8,/Date(1690480800000)/,58,925,29,2023-07-27 18:00:00,"July 27, 2023 18:00"
119.0,23.0,/Date(1690484400000)/,58,925,29,2023-07-27 19:00:00,"July 27, 2023 19:00"
119.0,23.2,/Date(1690488000000)/,58,925,29,2023-07-27 20:00:00,"July 27, 2023 20:00"
118.9,23.4,/Date(1690491600000)/,55,930,30,2023-07-27 21:00:00,"July 27, 2023 21:00"
118.9,23.6,/Date(1690495200000)/,55,930,30,2023-07-27 22:00:00,"July 27, 2023 22:00"
118.9,23.9,/Date(1690498800000)/,55,930,30,2023-07-27 23:00:00,"July 27, 2023 23:00"
118.8,24.1,/Date(1690502400000)/,52,935,24,2023-07-28 00:00:00,"July 28, 2023 00:00"
118.7,24.3,/Date(1690506000000)/,52,935,24,2023-07-28 01:00:00,"July 28, 2023 01:00"
118.6,24.7,/Date(1690509600000)/,50,945,25,2023-07-28 02:00:00,"July 28, 2023 02:00"
118.5,24.9,/Date(1690513200000)/,42,960,30,2023-07-28 03:00:00,"July 28, 2023 03:00"
118.4,25.0,/Date(1690516800000)/,38,970,30,2023-07-28 04:00:00,"July 28, 2023 04:00"
118.3,25.4,/Date(1690520400000)/,38,970,30,2023-07-28 05:00:00,"July 28, 2023 05:00"
118.1,25.5,/Date(1690524000000)/,33,980,33,2023-07-28 06:00:00,"July 28, 2023 06:00"
118.0,25.8,/Date(1690527600000)/,33,985,30,2023-07-28 07:00:00,"July 28, 2023 07:00"
117.9,26.0,/Date(1690531200000)/,30,988,30,2023-07-28 08:00:00,"July 28, 2023 08:00"
117.9,26.2,/Date(1690534800000)/,28,988,32,2023-07-28 09:00:00,"July 28, 2023 09:00"
117.8,26.4,/Date(1690538400000)/,25,990,30,2023-07-28 10:00:00,"July 28, 2023 10:00"
117.7,26.7,/Date(1690542000000)/,25,990,30,2023-07-28 11:00:00,"July 28, 2023 11:00"
117.4,27.0,/Date(1690545600000)/,25,990,30,2023-07-28 12:00:00,"July 28, 2023 12:00"
117.3,27.1,/Date(1690549200000)/,25,990,30,2023-07-28 13:00:00,"July 28, 2023 13:00"
117.0,27.4,/Date(1690552800000)/,25,990,30,2023-07-28 14:00:00,"July 28, 2023 14:00"
116.9,27.6,/Date(1690556400000)/,23,992,30,2023-07-28 15:00:00,"July 28, 2023 15:00"
116.9,28.1,/Date(1690560000000)/,23,992,30,2023-07-28 16:00:00,"July 28, 2023 16:00"
117.2,28.2,/Date(1690563600000)/,23,992,30,2023-07-28 17:00:00,"July 28, 2023 17:00"
117.2,28.5,/Date(1690567200000)/,20,995,33,2023-07-28 18:00:00,"July 28, 2023 18:00"
117.2,28.8,/Date(1690570800000)/,20,995,30,2023-07-28 19:00:00,"July 28, 2023 19:00"
117.1,29.1,/Date(1690574400000)/,20,995,30,2023-07-28 20:00:00,"July 28, 2023 20:00"
116.7,29.3,/Date(1690578000000)/,18,998,30,2023-07-28 21:00:00,"July 28, 2023 21:00"
116.6,29.8,/Date(1690581600000)/,18,998,30,2023-07-28 22:00:00,"July 28, 2023 22:00"
116.6,29.9,/Date(1690585200000)/,18,998,30,2023-07-28 23:00:00,"July 28, 2023 23:00"
116.5,30.0,/Date(1690588800000)/,16,999,29,2023-07-29 00:00:00,"July 29, 2023 00:00"
