LONGITUDE,LATITUDE,ISSUEDATE,WIND,AIRPRESSURE,MOVESPEED,PARSED_DATE,ENGLISH_DATE
180.0,15.5,/Date(1691798400000)/,40,960,26,2023-08-12 00:00:00,"August 12, 2023 00:00"
179.2,16.3,/Date(1691820000000)/,40,960,27,2023-08-12 06:00:00,"August 12, 2023 06:00"
178.7,16.9,/Date(1691830800000)/,40,960,24,2023-08-12 09:00:00,"August 12, 2023 09:00"
178.0,17.1,/Date(1691841600000)/,40,960,23,2023-08-12 12:00:00,"August 12, 2023 12:00"
177.1,17.8,/Date(1691863200000)/,35,970,22,2023-08-12 18:00:00,"August 12, 2023 18:00"
176.4,18.0,/Date(1691874000000)/,35,970,21,2023-08-12 21:00:00,"August 12, 2023 21:00"
175.8,18.1,/Date(1691884800000)/,35,970,20,2023-08-13 00:00:00,"August 13, 2023 00:00"
174.7,18.2,/Date(1691906400000)/,30,980,20,2023-08-13 06:00:00,"August 13, 2023 06:00"
173.8,18.2,/Date(1691917200000)/,28,982,24,2023-08-13 09:00:00,"August 13, 2023 09:00"
172.9,18.2,/Date(1691928000000)/,28,982,20,2023-08-13 12:00:00,"August 13, 2023 12:00"
171.4,18.3,/Date(1691949600000)/,28,982,18,2023-08-13 18:00:00,"August 13, 2023 18:00"
170.9,18.3,/Date(1691960400000)/,25,985,17,2023-08-13 21:00:00,"August 13, 2023 21:00"
170.3,18.6,/Date(1691971200000)/,23,990,17,2023-08-14 00:00:00,"August 14, 2023 00:00"
169.2,19.3,/Date(1691992800000)/,23,990,18,2023-08-14 06:00:00,"August 14, 2023 06:00"
169.0,19.7,/Date(1692003600000)/,23,990,17,2023-08-14 09:00:00,"August 14, 2023 09:00"
168.8,19.9,/Date(1692014400000)/,23,990,18,2023-08-14 12:00:00,"August 14, 2023 12:00"
168.6,20.3,/Date(1692036000000)/,20,992,23,2023-08-14 18:00:00,"August 14, 2023 18:00"
168.4,20.8,/Date(1692046800000)/,20,992,18,2023-08-14 21:00:00,"August 14, 2023 21:00"
168.3,20.9,/Date(1692057600000)/,18,995,21,2023-08-15 00:00:00,"August 15, 2023 00:00"
167.6,21.5,/Date(1692079200000)/,20,995,22,2023-08-15 06:00:00,"August 15, 2023 06:00"
