LONGITUDE,LATITUDE,ISSUEDATE,WIND,AIRPRESSURE,MOVESPEED,PARSED_DATE,ENGLISH_DATE
135.3,12.8,/Date(1686052800000)/,18,1000,22,2023-06-06 12:00:00,"June 06, 2023 12:00"
134.8,14.2,/Date(1686074400000)/,20,998,15,2023-06-06 18:00:00,"June 06, 2023 18:00"
134.7,14.7,/Date(1686085200000)/,20,998,14,2023-06-06 21:00:00,"June 06, 2023 21:00"
134.2,14.9,/Date(1686096000000)/,23,990,13,2023-06-07 00:00:00,"June 07, 2023 00:00"
134.1,15.0,/Date(1686117600000)/,25,985,14,2023-06-07 06:00:00,"June 07, 2023 06:00"
133.4,15.4,/Date(1686128400000)/,25,985,11,2023-06-07 09:00:00,"June 07, 2023 09:00"
133.1,15.5,/Date(1686139200000)/,25,985,11,2023-06-07 12:00:00,"June 07, 2023 12:00"
132.2,15.5,/Date(1686160800000)/,28,982,10,2023-06-07 18:00:00,"June 07, 2023 18:00"
132.0,15.8,/Date(1686171600000)/,28,982,10,2023-06-07 21:00:00,"June 07, 2023 21:00"
131.5,16.0,/Date(1686182400000)/,30,980,8,2023-06-08 00:00:00,"June 08, 2023 00:00"
131.3,16.1,/Date(1686193200000)/,30,980,9,2023-06-08 03:00:00,"June 08, 2023 03:00"
131.2,16.2,/Date(1686204000000)/,33,975,8,2023-06-08 06:00:00,"June 08, 2023 06:00"
131.0,16.3,/Date(1686214800000)/,35,970,8,2023-06-08 09:00:00,"June 08, 2023 09:00"
130.7,16.4,/Date(1686225600000)/,38,965,8,2023-06-08 12:00:00,"June 08, 2023 12:00"
130.6,16.6,/Date(1686236400000)/,38,965,8,2023-06-08 15:00:00,"June 08, 2023 15:00"
130.3,16.8,/Date(1686247200000)/,38,965,9,2023-06-08 18:00:00,"June 08, 2023 18:00"
130.2,17.0,/Date(1686258000000)/,38,965,8,2023-06-08 21:00:00,"June 08, 2023 21:00"
130.2,17.3,/Date(1686268800000)/,38,965,6,2023-06-09 00:00:00,"June 09, 2023 00:00"
130.2,17.5,/Date(1686279600000)/,38,965,8,2023-06-09 03:00:00,"June 09, 2023 03:00"
130.1,18.0,/Date(1686290400000)/,38,965,6,2023-06-09 06:00:00,"June 09, 2023 06:00"
130.0,18.1,/Date(1686301200000)/,38,965,7,2023-06-09 09:00:00,"June 09, 2023 09:00"
129.9,18.2,/Date(1686312000000)/,38,965,10,2023-06-09 12:00:00,"June 09, 2023 12:00"
129.9,18.3,/Date(1686322800000)/,38,965,12,2023-06-09 15:00:00,"June 09, 2023 15:00"
129.9,18.5,/Date(1686333600000)/,40,960,13,2023-06-09 18:00:00,"June 09, 2023 18:00"
129.9,18.7,/Date(1686344400000)/,40,960,14,2023-06-09 21:00:00,"June 09, 2023 21:00"
129.9,18.9,/Date(1686355200000)/,40,960,15,2023-06-10 00:00:00,"June 10, 2023 00:00"
130.1,19.4,/Date(1686366000000)/,40,960,15,2023-06-10 03:00:00,"June 10, 2023 03:00"
130.2,19.9,/Date(1686376800000)/,40,960,16,2023-06-10 06:00:00,"June 10, 2023 06:00"
130.4,20.4,/Date(1686387600000)/,40,960,18,2023-06-10 09:00:00,"June 10, 2023 09:00"
130.7,20.9,/Date(1686398400000)/,38,965,20,2023-06-10 12:00:00,"June 10, 2023 12:00"
130.9,21.2,/Date(1686409200000)/,38,965,22,2023-06-10 15:00:00,"June 10, 2023 15:00"
131.1,21.7,/Date(1686420000000)/,38,965,23,2023-06-10 18:00:00,"June 10, 2023 18:00"
131.3,22.2,/Date(1686430800000)/,38,965,24,2023-06-10 21:00:00,"June 10, 2023 21:00"
131.8,22.9,/Date(1686441600000)/,35,970,30,2023-06-11 00:00:00,"June 11, 2023 00:00"
132.6,24.1,/Date(1686463200000)/,35,970,30,2023-06-11 06:00:00,"June 11, 2023 06:00"
133.1,24.7,/Date(1686474000000)/,33,975,35,2023-06-11 09:00:00,"June 11, 2023 09:00"
133.9,25.6,/Date(1686484800000)/,30,980,36,2023-06-11 12:00:00,"June 11, 2023 12:00"
135.0,26.4,/Date(1686506400000)/,30,980,39,2023-06-11 18:00:00,"June 11, 2023 18:00"
136.0,27.2,/Date(1686517200000)/,30,980,46,2023-06-11 21:00:00,"June 11, 2023 21:00"
137.2,27.9,/Date(1686528000000)/,30,980,44,2023-06-12 00:00:00,"June 12, 2023 00:00"
137.6,29.1,/Date(1686549600000)/,28,982,43,2023-06-12 06:00:00,"June 12, 2023 06:00"
138.5,30.0,/Date(1686560400000)/,25,985,44,2023-06-12 09:00:00,"June 12, 2023 09:00"
139.3,30.3,/Date(1686571200000)/,23,990,43,2023-06-12 12:00:00,"June 12, 2023 12:00"
