LONGITUDE,LATITUDE,ISSUEDATE,WIND,AIRPRESSURE,MOVESPEED,PARSED_DATE,ENGLISH_DATE
137.6,12.6,/Date(1690480800000)/,18,998,15,2023-07-27 18:00:00,"July 27, 2023 18:00"
137.5,13.0,/Date(1690491600000)/,18,998,12,2023-07-27 21:00:00,"July 27, 2023 21:00"
136.9,13.2,/Date(1690502400000)/,18,998,16,2023-07-28 00:00:00,"July 28, 2023 00:00"
136.6,13.4,/Date(1690524000000)/,18,998,19,2023-07-28 06:00:00,"July 28, 2023 06:00"
135.8,14.0,/Date(1690534800000)/,18,998,17,2023-07-28 09:00:00,"July 28, 2023 09:00"
135.6,14.2,/Date(1690545600000)/,18,998,17,2023-07-28 12:00:00,"July 28, 2023 12:00"
135.0,14.6,/Date(1690567200000)/,18,998,17,2023-07-28 18:00:00,"July 28, 2023 18:00"
134.4,15.1,/Date(1690578000000)/,18,998,17,2023-07-28 21:00:00,"July 28, 2023 21:00"
133.8,15.5,/Date(1690588800000)/,18,998,15,2023-07-29 00:00:00,"July 29, 2023 00:00"
133.8,16.5,/Date(1690610400000)/,20,995,19,2023-07-29 06:00:00,"July 29, 2023 06:00"
133.5,16.6,/Date(1690621200000)/,20,995,19,2023-07-29 09:00:00,"July 29, 2023 09:00"
133.4,17.0,/Date(1690632000000)/,23,990,21,2023-07-29 12:00:00,"July 29, 2023 12:00"
133.3,17.7,/Date(1690653600000)/,28,982,25,2023-07-29 18:00:00,"July 29, 2023 18:00"
133.2,18.3,/Date(1690664400000)/,28,982,22,2023-07-29 21:00:00,"July 29, 2023 21:00"
132.8,18.7,/Date(1690675200000)/,30,980,22,2023-07-30 00:00:00,"July 30, 2023 00:00"
132.7,19.5,/Date(1690696800000)/,35,970,20,2023-07-30 06:00:00,"July 30, 2023 06:00"
132.6,20.0,/Date(1690707600000)/,38,965,20,2023-07-30 09:00:00,"July 30, 2023 09:00"
132.4,20.3,/Date(1690718400000)/,40,960,23,2023-07-30 12:00:00,"July 30, 2023 12:00"
132.2,21.1,/Date(1690740000000)/,40,960,20,2023-07-30 18:00:00,"July 30, 2023 18:00"
132.1,21.6,/Date(1690750800000)/,40,960,18,2023-07-30 21:00:00,"July 30, 2023 21:00"
132.0,22.1,/Date(1690761600000)/,42,955,19,2023-07-31 00:00:00,"July 31, 2023 00:00"
131.8,22.4,/Date(1690772400000)/,48,945,18,2023-07-31 03:00:00,"July 31, 2023 03:00"
131.5,22.8,/Date(1690783200000)/,50,940,17,2023-07-31 06:00:00,"July 31, 2023 06:00"
