LONGITUDE,LATITUDE,ISSUEDATE,WIND,AIRPRESSURE,MOVESPEED,PARSED_DATE,ENGLISH_DATE
154.3,13.3,/Date(1693396800000)/,18,998,24,2023-08-30 12:00:00,"August 30, 2023 12:00"
154.4,14.0,/Date(1693418400000)/,18,998,25,2023-08-30 18:00:00,"August 30, 2023 18:00"
154.3,14.4,/Date(1693429200000)/,23,990,29,2023-08-30 21:00:00,"August 30, 2023 21:00"
154.0,15.1,/Date(1693440000000)/,23,990,28,2023-08-31 00:00:00,"August 31, 2023 00:00"
154.0,16.6,/Date(1693461600000)/,28,982,29,2023-08-31 06:00:00,"August 31, 2023 06:00"
153.8,17.7,/Date(1693472400000)/,30,980,27,2023-08-31 09:00:00,"August 31, 2023 09:00"
153.5,18.1,/Date(1693483200000)/,30,980,27,2023-08-31 12:00:00,"August 31, 2023 12:00"
152.8,18.8,/Date(1693504800000)/,30,980,30,2023-08-31 18:00:00,"August 31, 2023 18:00"
152.5,19.5,/Date(1693515600000)/,30,980,34,2023-08-31 21:00:00,"August 31, 2023 21:00"
151.9,20.4,/Date(1693526400000)/,30,980,35,2023-09-01 00:00:00,"September 01, 2023 00:00"
150.8,21.8,/Date(1693548000000)/,25,985,38,2023-09-01 06:00:00,"September 01, 2023 06:00"
150.2,22.4,/Date(1693558800000)/,23,990,35,2023-09-01 09:00:00,"September 01, 2023 09:00"
149.7,23.9,/Date(1693569600000)/,18,998,35,2023-09-01 12:00:00,"September 01, 2023 12:00"
148.9,24.1,/Date(1693591200000)/,18,998,42,2023-09-01 18:00:00,"September 01, 2023 18:00"
148.2,24.7,/Date(1693602000000)/,18,998,41,2023-09-01 21:00:00,"September 01, 2023 21:00"
