LONGITUDE,LATITUDE,ISSUEDATE,WIND,AIRPRESSURE,MOVESPEED,PARSED_DATE,ENGLISH_DATE
132.1,15.6,/Date(1696021200000)/,18,1000,10,2023-09-29 21:00:00,"September 29, 2023 21:00"
131.7,15.3,/Date(1696032000000)/,18,1000,11,2023-09-30 00:00:00,"September 30, 2023 00:00"
131.4,15.3,/Date(1696042800000)/,18,1000,13,2023-09-30 03:00:00,"September 30, 2023 03:00"
131.2,15.7,/Date(1696053600000)/,18,1000,14,2023-09-30 06:00:00,"September 30, 2023 06:00"
130.7,16.0,/Date(1696064400000)/,18,1000,12,2023-09-30 09:00:00,"September 30, 2023 09:00"
130.5,16.3,/Date(1696075200000)/,18,1000,13,2023-09-30 12:00:00,"September 30, 2023 12:00"
130.4,16.5,/Date(1696086000000)/,20,995,13,2023-09-30 15:00:00,"September 30, 2023 15:00"
130.3,16.8,/Date(1696096800000)/,20,995,13,2023-09-30 18:00:00,"September 30, 2023 18:00"
130.1,17.1,/Date(1696107600000)/,20,995,14,2023-09-30 21:00:00,"September 30, 2023 21:00"
129.5,17.2,/Date(1696118400000)/,20,995,14,2023-10-01 00:00:00,"October 01, 2023 00:00"
129.2,17.4,/Date(1696129200000)/,25,985,12,2023-10-01 03:00:00,"October 01, 2023 03:00"
128.9,17.9,/Date(1696140000000)/,25,985,10,2023-10-01 06:00:00,"October 01, 2023 06:00"
128.7,18.3,/Date(1696150800000)/,28,982,12,2023-10-01 09:00:00,"October 01, 2023 09:00"
128.5,18.3,/Date(1696161600000)/,33,975,13,2023-10-01 12:00:00,"October 01, 2023 12:00"
128.3,18.5,/Date(1696172400000)/,33,975,12,2023-10-01 15:00:00,"October 01, 2023 15:00"
128.1,18.7,/Date(1696183200000)/,33,975,14,2023-10-01 18:00:00,"October 01, 2023 18:00"
127.8,19.0,/Date(1696194000000)/,38,965,12,2023-10-01 21:00:00,"October 01, 2023 21:00"
127.3,19.2,/Date(1696204800000)/,42,955,11,2023-10-02 00:00:00,"October 02, 2023 00:00"
127.2,19.3,/Date(1696215600000)/,42,955,11,2023-10-02 03:00:00,"October 02, 2023 03:00"
126.6,19.5,/Date(1696226400000)/,45,950,11,2023-10-02 06:00:00,"October 02, 2023 06:00"
126.4,19.6,/Date(1696237200000)/,48,945,12,2023-10-02 09:00:00,"October 02, 2023 09:00"
126.2,19.9,/Date(1696248000000)/,50,940,11,2023-10-02 12:00:00,"October 02, 2023 12:00"
125.7,20.2,/Date(1696258800000)/,52,935,11,2023-10-02 15:00:00,"October 02, 2023 15:00"
125.5,20.2,/Date(1696269600000)/,52,935,11,2023-10-02 18:00:00,"October 02, 2023 18:00"
125.2,20.2,/Date(1696280400000)/,52,935,11,2023-10-02 21:00:00,"October 02, 2023 21:00"
125.1,20.6,/Date(1696291200000)/,52,935,10,2023-10-03 00:00:00,"October 03, 2023 00:00"
124.9,21.0,/Date(1696302000000)/,52,935,11,2023-10-03 03:00:00,"October 03, 2023 03:00"
124.9,21.0,/Date(1696305600000)/,52,935,11,2023-10-03 04:00:00,"October 03, 2023 04:00"
124.9,21.1,/Date(1696309200000)/,52,935,11,2023-10-03 05:00:00,"October 03, 2023 05:00"
124.9,21.2,/Date(1696312800000)/,52,935,11,2023-10-03 06:00:00,"October 03, 2023 06:00"
124.9,21.3,/Date(1696316400000)/,52,935,11,2023-10-03 07:00:00,"October 03, 2023 07:00"
124.9,21.4,/Date(1696320000000)/,52,935,11,2023-10-03 08:00:00,"October 03, 2023 08:00"
124.9,21.6,/Date(1696323600000)/,52,935,10,2023-10-03 09:00:00,"October 03, 2023 09:00"
124.9,21.6,/Date(1696327200000)/,52,935,10,2023-10-03 10:00:00,"October 03, 2023 10:00"
124.8,21.7,/Date(1696330800000)/,52,935,8,2023-10-03 11:00:00,"October 03, 2023 11:00"
124.6,21.8,/Date(1696334400000)/,50,940,10,2023-10-03 12:00:00,"October 03, 2023 12:00"
124.6,21.8,/Date(1696338000000)/,50,940,10,2023-10-03 13:00:00,"October 03, 2023 13:00"
124.5,21.8,/Date(1696341600000)/,50,940,10,2023-10-03 14:00:00,"October 03, 2023 14:00"
124.5,21.8,/Date(1696345200000)/,50,940,11,2023-10-03 15:00:00,"October 03, 2023 15:00"
124.4,21.8,/Date(1696348800000)/,50,940,11,2023-10-03 16:00:00,"October 03, 2023 16:00"
124.3,21.8,/Date(1696352400000)/,50,940,11,2023-10-03 17:00:00,"October 03, 2023 17:00"
124.2,21.9,/Date(1696356000000)/,48,945,12,2023-10-03 18:00:00,"October 03, 2023 18:00"
124.2,21.9,/Date(1696359600000)/,48,945,12,2023-10-03 19:00:00,"October 03, 2023 19:00"
124.1,21.9,/Date(1696363200000)/,48,945,12,2023-10-03 20:00:00,"October 03, 2023 20:00"
124.0,22.0,/Date(1696366800000)/,48,945,13,2023-10-03 21:00:00,"October 03, 2023 21:00"
123.9,22.0,/Date(1696370400000)/,48,945,13,2023-10-03 22:00:00,"October 03, 2023 22:00"
123.8,22.0,/Date(1696374000000)/,48,945,13,2023-10-03 23:00:00,"October 03, 2023 23:00"
123.6,22.1,/Date(1696377600000)/,50,940,12,2023-10-04 00:00:00,"October 04, 2023 00:00"
123.5,22.1,/Date(1696381200000)/,50,940,12,2023-10-04 01:00:00,"October 04, 2023 01:00"
123.4,22.1,/Date(1696384800000)/,50,940,12,2023-10-04 02:00:00,"October 04, 2023 02:00"
123.3,22.1,/Date(1696388400000)/,50,940,12,2023-10-04 03:00:00,"October 04, 2023 03:00"
123.1,22.1,/Date(1696392000000)/,50,940,12,2023-10-04 04:00:00,"October 04, 2023 04:00"
123.0,22.1,/Date(1696395600000)/,50,940,12,2023-10-04 05:00:00,"October 04, 2023 05:00"
122.8,22.1,/Date(1696399200000)/,50,940,13,2023-10-04 06:00:00,"October 04, 2023 06:00"
122.6,22.1,/Date(1696402800000)/,50,940,12,2023-10-04 07:00:00,"October 04, 2023 07:00"
122.5,22.1,/Date(1696406400000)/,50,940,12,2023-10-04 08:00:00,"October 04, 2023 08:00"
122.4,22.1,/Date(1696410000000)/,50,940,13,2023-10-04 09:00:00,"October 04, 2023 09:00"
122.3,22.1,/Date(1696413600000)/,50,940,13,2023-10-04 10:00:00,"October 04, 2023 10:00"
122.1,22.0,/Date(1696417200000)/,50,940,13,2023-10-04 11:00:00,"October 04, 2023 11:00"
122.0,22.0,/Date(1696420800000)/,50,940,11,2023-10-04 12:00:00,"October 04, 2023 12:00"
121.9,21.9,/Date(1696424400000)/,50,940,11,2023-10-04 13:00:00,"October 04, 2023 13:00"
