LONGITUDE,LATITUDE,ISSUEDATE,WIND,AIRPRESSURE,MOVESPEED,PARSED_DATE,ENGLISH_DATE
149.0,24.3,/Date(1691452800000)/,18,998,10,2023-08-08 00:00:00,"August 08, 2023 00:00"
148.6,24.3,/Date(1691474400000)/,18,998,10,2023-08-08 06:00:00,"August 08, 2023 06:00"
148.5,24.3,/Date(1691485200000)/,20,995,11,2023-08-08 09:00:00,"August 08, 2023 09:00"
148.4,24.4,/Date(1691496000000)/,20,995,14,2023-08-08 12:00:00,"August 08, 2023 12:00"
147.6,24.4,/Date(1691517600000)/,20,995,12,2023-08-08 18:00:00,"August 08, 2023 18:00"
147.3,24.4,/Date(1691528400000)/,20,995,13,2023-08-08 21:00:00,"August 08, 2023 21:00"
146.9,24.4,/Date(1691539200000)/,25,985,15,2023-08-09 00:00:00,"August 09, 2023 00:00"
146.0,24.5,/Date(1691560800000)/,30,980,16,2023-08-09 06:00:00,"August 09, 2023 06:00"
145.9,24.8,/Date(1691571600000)/,30,980,15,2023-08-09 09:00:00,"August 09, 2023 09:00"
145.5,24.8,/Date(1691582400000)/,30,980,15,2023-08-09 12:00:00,"August 09, 2023 12:00"
144.7,24.8,/Date(1691604000000)/,30,980,11,2023-08-09 18:00:00,"August 09, 2023 18:00"
144.3,25.0,/Date(1691614800000)/,30,980,9,2023-08-09 21:00:00,"August 09, 2023 21:00"
143.9,25.1,/Date(1691625600000)/,35,970,9,2023-08-10 00:00:00,"August 10, 2023 00:00"
143.5,25.5,/Date(1691647200000)/,35,970,9,2023-08-10 06:00:00,"August 10, 2023 06:00"
143.2,25.8,/Date(1691658000000)/,38,965,10,2023-08-10 09:00:00,"August 10, 2023 09:00"
143.2,25.9,/Date(1691668800000)/,40,960,11,2023-08-10 12:00:00,"August 10, 2023 12:00"
142.9,26.3,/Date(1691690400000)/,45,950,11,2023-08-10 18:00:00,"August 10, 2023 18:00"
142.9,26.6,/Date(1691701200000)/,48,945,11,2023-08-10 21:00:00,"August 10, 2023 21:00"
142.9,26.8,/Date(1691712000000)/,55,930,11,2023-08-11 00:00:00,"August 11, 2023 00:00"
142.9,27.3,/Date(1691733600000)/,55,930,15,2023-08-11 06:00:00,"August 11, 2023 06:00"
142.8,27.6,/Date(1691744400000)/,55,930,10,2023-08-11 09:00:00,"August 11, 2023 09:00"
142.6,27.9,/Date(1691755200000)/,55,930,10,2023-08-11 12:00:00,"August 11, 2023 12:00"
142.4,28.1,/Date(1691776800000)/,48,945,11,2023-08-11 18:00:00,"August 11, 2023 18:00"
142.2,28.4,/Date(1691787600000)/,45,950,12,2023-08-11 21:00:00,"August 11, 2023 21:00"
141.9,28.6,/Date(1691798400000)/,42,955,12,2023-08-12 00:00:00,"August 12, 2023 00:00"
141.4,28.7,/Date(1691820000000)/,42,955,14,2023-08-12 06:00:00,"August 12, 2023 06:00"
141.1,29.0,/Date(1691830800000)/,42,955,13,2023-08-12 09:00:00,"August 12, 2023 09:00"
140.7,29.0,/Date(1691841600000)/,40,960,12,2023-08-12 12:00:00,"August 12, 2023 12:00"
140.0,29.3,/Date(1691863200000)/,35,970,12,2023-08-12 18:00:00,"August 12, 2023 18:00"
139.8,29.6,/Date(1691874000000)/,35,970,12,2023-08-12 21:00:00,"August 12, 2023 21:00"
139.6,29.7,/Date(1691884800000)/,38,965,13,2023-08-13 00:00:00,"August 13, 2023 00:00"
139.0,30.2,/Date(1691906400000)/,38,965,14,2023-08-13 06:00:00,"August 13, 2023 06:00"
138.6,30.4,/Date(1691917200000)/,38,965,13,2023-08-13 09:00:00,"August 13, 2023 09:00"
138.5,30.7,/Date(1691928000000)/,38,965,13,2023-08-13 12:00:00,"August 13, 2023 12:00"
138.3,30.9,/Date(1691949600000)/,38,965,11,2023-08-13 18:00:00,"August 13, 2023 18:00"
137.9,31.3,/Date(1691960400000)/,40,960,13,2023-08-13 21:00:00,"August 13, 2023 21:00"
137.6,31.7,/Date(1691971200000)/,40,960,10,2023-08-14 00:00:00,"August 14, 2023 00:00"
136.9,32.2,/Date(1691992800000)/,40,960,10,2023-08-14 06:00:00,"August 14, 2023 06:00"
136.8,32.3,/Date(1692003600000)/,38,965,12,2023-08-14 09:00:00,"August 14, 2023 09:00"
136.5,32.6,/Date(1692014400000)/,35,970,14,2023-08-14 12:00:00,"August 14, 2023 12:00"
136.0,33.2,/Date(1692036000000)/,35,970,18,2023-08-14 18:00:00,"August 14, 2023 18:00"
135.7,33.7,/Date(1692046800000)/,30,975,17,2023-08-14 21:00:00,"August 14, 2023 21:00"
