LONGITUDE,LATITUDE,ISSUEDATE,WIND,AIRPRESSURE,MOVESPEED,PARSED_DATE,ENGLISH_DATE
149.1,5.8,/Date(1684562400000)/,18,1000,8,2023-05-20 06:00:00,"May 20, 2023 06:00"
149.1,5.9,/Date(1684573200000)/,18,1000,12,2023-05-20 09:00:00,"May 20, 2023 09:00"
148.9,6.6,/Date(1684584000000)/,20,995,10,2023-05-20 12:00:00,"May 20, 2023 12:00"
148.8,6.9,/Date(1684605600000)/,25,985,15,2023-05-20 18:00:00,"May 20, 2023 18:00"
148.8,7.0,/Date(1684616400000)/,25,985,15,2023-05-20 21:00:00,"May 20, 2023 21:00"
148.7,7.1,/Date(1684627200000)/,28,982,12,2023-05-21 00:00:00,"May 21, 2023 00:00"
148.4,7.5,/Date(1684648800000)/,28,982,15,2023-05-21 06:00:00,"May 21, 2023 06:00"
148.4,7.6,/Date(1684659600000)/,28,982,15,2023-05-21 09:00:00,"May 21, 2023 09:00"
148.1,7.7,/Date(1684670400000)/,30,980,14,2023-05-21 12:00:00,"May 21, 2023 12:00"
147.7,7.8,/Date(1684692000000)/,35,970,18,2023-05-21 18:00:00,"May 21, 2023 18:00"
147.4,8.4,/Date(1684702800000)/,35,970,17,2023-05-21 21:00:00,"May 21, 2023 21:00"
147.3,8.8,/Date(1684713600000)/,35,970,15,2023-05-22 00:00:00,"May 22, 2023 00:00"
147.0,9.4,/Date(1684735200000)/,38,965,13,2023-05-22 06:00:00,"May 22, 2023 06:00"
146.9,9.7,/Date(1684746000000)/,38,965,13,2023-05-22 09:00:00,"May 22, 2023 09:00"
146.9,10.0,/Date(1684756800000)/,42,955,12,2023-05-22 12:00:00,"May 22, 2023 12:00"
146.8,10.6,/Date(1684778400000)/,48,945,13,2023-05-22 18:00:00,"May 22, 2023 18:00"
146.8,10.7,/Date(1684789200000)/,48,945,12,2023-05-22 21:00:00,"May 22, 2023 21:00"
146.8,11.1,/Date(1684800000000)/,50,940,14,2023-05-23 00:00:00,"May 23, 2023 00:00"
146.5,11.7,/Date(1684821600000)/,60,920,13,2023-05-23 06:00:00,"May 23, 2023 06:00"
146.3,12.0,/Date(1684832400000)/,60,920,12,2023-05-23 09:00:00,"May 23, 2023 09:00"
146.0,12.2,/Date(1684843200000)/,60,920,12,2023-05-23 12:00:00,"May 23, 2023 12:00"
