LONGITUDE,LATITUDE,ISSUEDATE,WIND,AIRPRESSURE,MOVESPEED,PARSED_DATE,ENGLISH_DATE
132.0,11.7,/Date(1666828800000)/,18,998,18,2022-10-27 00:00:00,"October 27, 2022 00:00"
131.4,11.4,/Date(1666850400000)/,20,995,18,2022-10-27 06:00:00,"October 27, 2022 06:00"
131.1,11.3,/Date(1666861200000)/,20,995,20,2022-10-27 09:00:00,"October 27, 2022 09:00"
130.8,11.1,/Date(1666872000000)/,20,995,26,2022-10-27 12:00:00,"October 27, 2022 12:00"
129.9,11.4,/Date(1666893600000)/,23,990,25,2022-10-27 18:00:00,"October 27, 2022 18:00"
129.2,11.7,/Date(1666904400000)/,23,990,23,2022-10-27 21:00:00,"October 27, 2022 21:00"
128.4,12.0,/Date(1666915200000)/,23,990,25,2022-10-28 00:00:00,"October 28, 2022 00:00"
127.2,12.1,/Date(1666926000000)/,23,990,25,2022-10-28 03:00:00,"October 28, 2022 03:00"
126.6,12.4,/Date(1666936800000)/,23,990,25,2022-10-28 06:00:00,"October 28, 2022 06:00"
125.9,12.6,/Date(1666947600000)/,23,990,25,2022-10-28 09:00:00,"October 28, 2022 09:00"
125.3,13.2,/Date(1666958400000)/,25,985,25,2022-10-28 12:00:00,"October 28, 2022 12:00"
124.7,13.5,/Date(1666969200000)/,25,985,22,2022-10-28 15:00:00,"October 28, 2022 15:00"
124.1,13.8,/Date(1666980000000)/,28,982,23,2022-10-28 18:00:00,"October 28, 2022 18:00"
123.0,14.3,/Date(1666990800000)/,30,980,18,2022-10-28 21:00:00,"October 28, 2022 21:00"
122.3,13.9,/Date(1667001600000)/,30,980,20,2022-10-29 00:00:00,"October 29, 2022 00:00"
121.7,13.7,/Date(1667012400000)/,28,982,22,2022-10-29 03:00:00,"October 29, 2022 03:00"
121.5,13.7,/Date(1667023200000)/,28,982,21,2022-10-29 06:00:00,"October 29, 2022 06:00"
121.2,14.1,/Date(1667034000000)/,28,982,25,2022-10-29 09:00:00,"October 29, 2022 09:00"
120.5,14.4,/Date(1667044800000)/,28,982,24,2022-10-29 12:00:00,"October 29, 2022 12:00"
120.1,14.8,/Date(1667055600000)/,28,982,23,2022-10-29 15:00:00,"October 29, 2022 15:00"
119.9,15.4,/Date(1667066400000)/,28,982,20,2022-10-29 18:00:00,"October 29, 2022 18:00"
119.5,16.4,/Date(1667077200000)/,28,982,15,2022-10-29 21:00:00,"October 29, 2022 21:00"
119.0,16.5,/Date(1667084400000)/,28,982,15,2022-10-29 23:00:00,"October 29, 2022 23:00"
118.9,16.5,/Date(1667088000000)/,28,982,10,2022-10-30 00:00:00,"October 30, 2022 00:00"
118.6,16.5,/Date(1667091600000)/,28,982,7,2022-10-30 01:00:00,"October 30, 2022 01:00"
118.5,16.3,/Date(1667095200000)/,28,982,6,2022-10-30 02:00:00,"October 30, 2022 02:00"
118.4,16.2,/Date(1667098800000)/,28,982,7,2022-10-30 03:00:00,"October 30, 2022 03:00"
118.3,16.1,/Date(1667102400000)/,28,982,7,2022-10-30 04:00:00,"October 30, 2022 04:00"
118.2,16.1,/Date(1667106000000)/,28,982,7,2022-10-30 05:00:00,"October 30, 2022 05:00"
118.1,15.9,/Date(1667109600000)/,28,982,7,2022-10-30 06:00:00,"October 30, 2022 06:00"
118.1,15.9,/Date(1667113200000)/,28,982,8,2022-10-30 07:00:00,"October 30, 2022 07:00"
118.0,15.9,/Date(1667116800000)/,28,982,7,2022-10-30 08:00:00,"October 30, 2022 08:00"
117.8,15.8,/Date(1667120400000)/,28,982,8,2022-10-30 09:00:00,"October 30, 2022 09:00"
117.7,15.8,/Date(1667124000000)/,28,982,8,2022-10-30 10:00:00,"October 30, 2022 10:00"
117.6,15.8,/Date(1667127600000)/,28,982,8,2022-10-30 11:00:00,"October 30, 2022 11:00"
117.5,15.7,/Date(1667131200000)/,28,982,10,2022-10-30 12:00:00,"October 30, 2022 12:00"
117.4,15.7,/Date(1667134800000)/,28,982,10,2022-10-30 13:00:00,"October 30, 2022 13:00"
117.4,15.7,/Date(1667138400000)/,28,982,10,2022-10-30 14:00:00,"October 30, 2022 14:00"
117.3,15.7,/Date(1667142000000)/,30,980,12,2022-10-30 15:00:00,"October 30, 2022 15:00"
117.2,15.8,/Date(1667145600000)/,30,980,12,2022-10-30 16:00:00,"October 30, 2022 16:00"
117.1,15.9,/Date(1667149200000)/,30,980,10,2022-10-30 17:00:00,"October 30, 2022 17:00"
117.1,16.0,/Date(1667152800000)/,30,980,12,2022-10-30 18:00:00,"October 30, 2022 18:00"
117.1,16.0,/Date(1667156400000)/,30,980,11,2022-10-30 19:00:00,"October 30, 2022 19:00"
117.1,16.0,/Date(1667160000000)/,30,980,12,2022-10-30 20:00:00,"October 30, 2022 20:00"
117.1,16.0,/Date(1667163600000)/,30,980,13,2022-10-30 21:00:00,"October 30, 2022 21:00"
117.1,16.1,/Date(1667167200000)/,30,980,13,2022-10-30 22:00:00,"October 30, 2022 22:00"
117.0,16.3,/Date(1667170800000)/,30,980,13,2022-10-30 23:00:00,"October 30, 2022 23:00"
117.0,16.4,/Date(1667174400000)/,33,975,14,2022-10-31 00:00:00,"October 31, 2022 00:00"
117.0,16.4,/Date(1667178000000)/,33,975,14,2022-10-31 01:00:00,"October 31, 2022 01:00"
117.0,16.5,/Date(1667181600000)/,33,975,14,2022-10-31 02:00:00,"October 31, 2022 02:00"
117.0,16.7,/Date(1667185200000)/,33,975,12,2022-10-31 03:00:00,"October 31, 2022 03:00"
117.0,16.8,/Date(1667188800000)/,33,975,12,2022-10-31 04:00:00,"October 31, 2022 04:00"
117.0,16.9,/Date(1667192400000)/,33,975,12,2022-10-31 05:00:00,"October 31, 2022 05:00"
117.0,16.9,/Date(1667196000000)/,33,975,13,2022-10-31 06:00:00,"October 31, 2022 06:00"
116.9,17.0,/Date(1667199600000)/,33,975,13,2022-10-31 07:00:00,"October 31, 2022 07:00"
116.9,17.2,/Date(1667203200000)/,33,975,13,2022-10-31 08:00:00,"October 31, 2022 08:00"
116.9,17.5,/Date(1667206800000)/,33,975,10,2022-10-31 09:00:00,"October 31, 2022 09:00"
116.9,17.5,/Date(1667210400000)/,33,975,10,2022-10-31 10:00:00,"October 31, 2022 10:00"
116.8,17.6,/Date(1667214000000)/,33,975,10,2022-10-31 11:00:00,"October 31, 2022 11:00"
116.6,17.7,/Date(1667217600000)/,33,975,9,2022-10-31 12:00:00,"October 31, 2022 12:00"
116.5,17.8,/Date(1667221200000)/,33,975,8,2022-10-31 13:00:00,"October 31, 2022 13:00"
116.3,18.0,/Date(1667224800000)/,33,975,8,2022-10-31 14:00:00,"October 31, 2022 14:00"
116.2,18.2,/Date(1667228400000)/,33,975,7,2022-10-31 15:00:00,"October 31, 2022 15:00"
116.2,18.4,/Date(1667232000000)/,33,975,7,2022-10-31 16:00:00,"October 31, 2022 16:00"
116.2,18.5,/Date(1667235600000)/,33,975,7,2022-10-31 17:00:00,"October 31, 2022 17:00"
116.2,18.5,/Date(1667239200000)/,33,975,6,2022-10-31 18:00:00,"October 31, 2022 18:00"
116.1,18.6,/Date(1667242800000)/,33,975,6,2022-10-31 19:00:00,"October 31, 2022 19:00"
116.1,18.6,/Date(1667246400000)/,33,975,6,2022-10-31 20:00:00,"October 31, 2022 20:00"
116.1,18.7,/Date(1667250000000)/,33,975,8,2022-10-31 21:00:00,"October 31, 2022 21:00"
116.0,18.8,/Date(1667253600000)/,33,975,8,2022-10-31 22:00:00,"October 31, 2022 22:00"
115.9,18.9,/Date(1667257200000)/,33,975,8,2022-10-31 23:00:00,"October 31, 2022 23:00"
115.9,18.9,/Date(1667260800000)/,33,975,7,2022-11-01 00:00:00,"November 01, 2022 00:00"
115.9,18.9,/Date(1667264400000)/,33,975,7,2022-11-01 01:00:00,"November 01, 2022 01:00"
115.9,18.9,/Date(1667268000000)/,33,975,7,2022-11-01 02:00:00,"November 01, 2022 02:00"
115.9,19.1,/Date(1667271600000)/,33,975,9,2022-11-01 03:00:00,"November 01, 2022 03:00"
115.9,19.1,/Date(1667275200000)/,33,975,9,2022-11-01 04:00:00,"November 01, 2022 04:00"
115.9,19.1,/Date(1667278800000)/,33,975,9,2022-11-01 05:00:00,"November 01, 2022 05:00"
115.9,19.1,/Date(1667282400000)/,33,975,11,2022-11-01 06:00:00,"November 01, 2022 06:00"
