LONGITUDE,LATITUDE,ISSUEDATE,WIND,AIRPRESSURE,MOVESPEED,PARSED_DATE,ENGLISH_DATE
127.5,19.4,/Date(1665770400000)/,15,1000,22,2022-10-14 18:00:00,"October 14, 2022 18:00"
126.5,19.4,/Date(1665781200000)/,15,1000,22,2022-10-14 21:00:00,"October 14, 2022 21:00"
126.2,19.2,/Date(1665792000000)/,15,1000,22,2022-10-15 00:00:00,"October 15, 2022 00:00"
125.9,19.0,/Date(1665802800000)/,15,1000,22,2022-10-15 03:00:00,"October 15, 2022 03:00"
124.0,18.7,/Date(1665813600000)/,18,998,15,2022-10-15 06:00:00,"October 15, 2022 06:00"
123.4,18.5,/Date(1665824400000)/,18,998,15,2022-10-15 09:00:00,"October 15, 2022 09:00"
123.2,18.5,/Date(1665835200000)/,18,998,18,2022-10-15 12:00:00,"October 15, 2022 12:00"
123.0,18.6,/Date(1665846000000)/,23,990,22,2022-10-15 15:00:00,"October 15, 2022 15:00"
122.3,19.1,/Date(1665856800000)/,23,990,21,2022-10-15 18:00:00,"October 15, 2022 18:00"
121.7,19.0,/Date(1665867600000)/,23,990,22,2022-10-15 21:00:00,"October 15, 2022 21:00"
121.5,19.5,/Date(1665871200000)/,23,990,18,2022-10-15 22:00:00,"October 15, 2022 22:00"
121.3,19.4,/Date(1665874800000)/,23,990,17,2022-10-15 23:00:00,"October 15, 2022 23:00"
121.2,19.3,/Date(1665878400000)/,25,985,20,2022-10-16 00:00:00,"October 16, 2022 00:00"
121.1,19.3,/Date(1665882000000)/,25,985,20,2022-10-16 01:00:00,"October 16, 2022 01:00"
120.9,19.3,/Date(1665885600000)/,25,985,20,2022-10-16 02:00:00,"October 16, 2022 02:00"
120.7,19.4,/Date(1665889200000)/,28,982,20,2022-10-16 03:00:00,"October 16, 2022 03:00"
120.5,19.4,/Date(1665892800000)/,28,982,20,2022-10-16 04:00:00,"October 16, 2022 04:00"
120.3,19.6,/Date(1665896400000)/,28,982,20,2022-10-16 05:00:00,"October 16, 2022 05:00"
120.2,19.6,/Date(1665900000000)/,33,975,15,2022-10-16 06:00:00,"October 16, 2022 06:00"
120.0,19.7,/Date(1665903600000)/,33,975,18,2022-10-16 07:00:00,"October 16, 2022 07:00"
120.0,19.7,/Date(1665907200000)/,33,975,20,2022-10-16 08:00:00,"October 16, 2022 08:00"
119.7,19.7,/Date(1665910800000)/,33,975,18,2022-10-16 09:00:00,"October 16, 2022 09:00"
119.5,19.7,/Date(1665914400000)/,33,975,18,2022-10-16 10:00:00,"October 16, 2022 10:00"
119.2,19.7,/Date(1665918000000)/,33,975,18,2022-10-16 11:00:00,"October 16, 2022 11:00"
