LONGITUDE,LATITUDE,ISSUEDATE,WIND,AIRPRESSURE,MOVESPEED,PARSED_DATE,ENGLISH_DATE
125.1,14.1,/Date(1670630400000)/,14,1003,12,2022-12-10 00:00:00,"December 10, 2022 00:00"
125.1,14.5,/Date(1670641200000)/,14,1003,11,2022-12-10 03:00:00,"December 10, 2022 03:00"
124.8,14.8,/Date(1670652000000)/,14,1003,13,2022-12-10 06:00:00,"December 10, 2022 06:00"
124.8,15.4,/Date(1670662800000)/,15,1002,10,2022-12-10 09:00:00,"December 10, 2022 09:00"
124.8,16.1,/Date(1670673600000)/,15,1002,12,2022-12-10 12:00:00,"December 10, 2022 12:00"
124.8,16.6,/Date(1670684400000)/,15,1002,10,2022-12-10 15:00:00,"December 10, 2022 15:00"
124.7,17.0,/Date(1670695200000)/,15,1002,16,2022-12-10 18:00:00,"December 10, 2022 18:00"
124.9,17.4,/Date(1670706000000)/,15,1002,16,2022-12-10 21:00:00,"December 10, 2022 21:00"
125.1,17.5,/Date(1670716800000)/,16,1002,17,2022-12-11 00:00:00,"December 11, 2022 00:00"
125.4,17.6,/Date(1670727600000)/,16,1002,17,2022-12-11 03:00:00,"December 11, 2022 03:00"
125.6,17.7,/Date(1670738400000)/,16,1002,18,2022-12-11 06:00:00,"December 11, 2022 06:00"
126.2,17.9,/Date(1670749200000)/,16,1002,15,2022-12-11 09:00:00,"December 11, 2022 09:00"
126.6,18.2,/Date(1670760000000)/,16,1002,20,2022-12-11 12:00:00,"December 11, 2022 12:00"
127.2,18.4,/Date(1670770800000)/,18,998,17,2022-12-11 15:00:00,"December 11, 2022 15:00"
127.8,18.8,/Date(1670781600000)/,18,998,18,2022-12-11 18:00:00,"December 11, 2022 18:00"
128.5,20.2,/Date(1670792400000)/,20,995,10,2022-12-11 21:00:00,"December 11, 2022 21:00"
129.5,20.4,/Date(1670803200000)/,23,990,15,2022-12-12 00:00:00,"December 12, 2022 00:00"
130.6,20.3,/Date(1670814000000)/,23,990,15,2022-12-12 03:00:00,"December 12, 2022 03:00"
131.0,20.4,/Date(1670824800000)/,23,990,10,2022-12-12 06:00:00,"December 12, 2022 06:00"
131.2,20.3,/Date(1670835600000)/,20,995,10,2022-12-12 09:00:00,"December 12, 2022 09:00"
