LONGITUDE,LATITUDE,ISSUEDATE,WIND,AIRPRESSURE,MOVESPEED,PARSED_DATE,ENGLISH_DATE
156.8,9.1,/Date(1681981200000)/,18,1000,15,2023-04-20 09:00:00,"April 20, 2023 09:00"
156.5,9.6,/Date(1681992000000)/,18,1000,11,2023-04-20 12:00:00,"April 20, 2023 12:00"
156.0,9.9,/Date(1682013600000)/,18,1000,10,2023-04-20 18:00:00,"April 20, 2023 18:00"
155.8,10.0,/Date(1682024400000)/,20,995,8,2023-04-20 21:00:00,"April 20, 2023 21:00"
155.6,10.1,/Date(1682035200000)/,20,995,8,2023-04-21 00:00:00,"April 21, 2023 00:00"
155.6,10.2,/Date(1682056800000)/,23,992,8,2023-04-21 06:00:00,"April 21, 2023 06:00"
155.6,10.2,/Date(1682067600000)/,23,992,8,2023-04-21 09:00:00,"April 21, 2023 09:00"
155.3,10.3,/Date(1682078400000)/,23,992,10,2023-04-21 12:00:00,"April 21, 2023 12:00"
155.3,10.3,/Date(1682100000000)/,23,992,8,2023-04-21 18:00:00,"April 21, 2023 18:00"
155.3,10.3,/Date(1682110800000)/,23,992,8,2023-04-21 21:00:00,"April 21, 2023 21:00"
155.2,10.4,/Date(1682121600000)/,20,998,10,2023-04-22 00:00:00,"April 22, 2023 00:00"
155.0,10.4,/Date(1682143200000)/,18,1000,15,2023-04-22 06:00:00,"April 22, 2023 06:00"
154.8,10.4,/Date(1682154000000)/,15,1002,10,2023-04-22 09:00:00,"April 22, 2023 09:00"
