LONGITUDE,LATITUDE,ISSUEDATE,WIND,AIRPRESSURE,MOVESPEED,PARSED_DATE,ENGLISH_DATE
125.0,19.8,/Date(1692835200000)/,15,1004,7,2023-08-24 00:00:00,"August 24, 2023 00:00"
124.9,20.2,/Date(1692846000000)/,15,1002,8,2023-08-24 03:00:00,"August 24, 2023 03:00"
124.7,20.3,/Date(1692856800000)/,18,998,0,2023-08-24 06:00:00,"August 24, 2023 06:00"
124.6,20.4,/Date(1692867600000)/,23,990,0,2023-08-24 09:00:00,"August 24, 2023 09:00"
124.0,20.4,/Date(1692878400000)/,25,985,0,2023-08-24 12:00:00,"August 24, 2023 12:00"
123.7,20.2,/Date(1692889200000)/,25,985,0,2023-08-24 15:00:00,"August 24, 2023 15:00"
124.0,20.0,/Date(1692900000000)/,25,985,0,2023-08-24 18:00:00,"August 24, 2023 18:00"
124.0,19.8,/Date(1692910800000)/,25,985,0,2023-08-24 21:00:00,"August 24, 2023 21:00"
124.0,19.7,/Date(1692921600000)/,25,985,0,2023-08-25 00:00:00,"August 25, 2023 00:00"
123.9,19.7,/Date(1692932400000)/,25,985,0,2023-08-25 03:00:00,"August 25, 2023 03:00"
123.9,19.7,/Date(1692943200000)/,28,982,0,2023-08-25 06:00:00,"August 25, 2023 06:00"
123.7,19.6,/Date(1692954000000)/,28,982,8,2023-08-25 09:00:00,"August 25, 2023 09:00"
123.6,19.5,/Date(1692964800000)/,30,980,8,2023-08-25 12:00:00,"August 25, 2023 12:00"
123.5,19.4,/Date(1692975600000)/,30,980,10,2023-08-25 15:00:00,"August 25, 2023 15:00"
123.4,19.3,/Date(1692986400000)/,33,975,11,2023-08-25 18:00:00,"August 25, 2023 18:00"
123.2,18.9,/Date(1692997200000)/,38,965,10,2023-08-25 21:00:00,"August 25, 2023 21:00"
123.2,18.5,/Date(1693008000000)/,38,965,9,2023-08-26 00:00:00,"August 26, 2023 00:00"
123.3,18.2,/Date(1693018800000)/,40,960,9,2023-08-26 03:00:00,"August 26, 2023 03:00"
123.2,18.0,/Date(1693029600000)/,48,945,8,2023-08-26 06:00:00,"August 26, 2023 06:00"
123.2,17.8,/Date(1693040400000)/,50,940,8,2023-08-26 09:00:00,"August 26, 2023 09:00"
123.1,17.6,/Date(1693051200000)/,50,940,8,2023-08-26 12:00:00,"August 26, 2023 12:00"
122.9,17.4,/Date(1693062000000)/,55,930,8,2023-08-26 15:00:00,"August 26, 2023 15:00"
122.9,17.2,/Date(1693072800000)/,55,930,6,2023-08-26 18:00:00,"August 26, 2023 18:00"
122.9,17.0,/Date(1693083600000)/,55,930,6,2023-08-26 21:00:00,"August 26, 2023 21:00"
122.9,16.8,/Date(1693094400000)/,55,930,8,2023-08-27 00:00:00,"August 27, 2023 00:00"
123.0,16.7,/Date(1693105200000)/,52,935,9,2023-08-27 03:00:00,"August 27, 2023 03:00"
123.0,16.5,/Date(1693116000000)/,50,940,9,2023-08-27 06:00:00,"August 27, 2023 06:00"
123.1,16.4,/Date(1693126800000)/,50,940,10,2023-08-27 09:00:00,"August 27, 2023 09:00"
123.2,16.3,/Date(1693137600000)/,50,940,11,2023-08-27 12:00:00,"August 27, 2023 12:00"
123.5,16.1,/Date(1693148400000)/,50,940,11,2023-08-27 15:00:00,"August 27, 2023 15:00"
123.8,16.0,/Date(1693159200000)/,48,945,10,2023-08-27 18:00:00,"August 27, 2023 18:00"
124.1,16.3,/Date(1693170000000)/,48,945,11,2023-08-27 21:00:00,"August 27, 2023 21:00"
124.3,16.8,/Date(1693180800000)/,48,945,10,2023-08-28 00:00:00,"August 28, 2023 00:00"
124.4,17.1,/Date(1693191600000)/,50,940,10,2023-08-28 03:00:00,"August 28, 2023 03:00"
124.3,17.5,/Date(1693202400000)/,50,940,9,2023-08-28 06:00:00,"August 28, 2023 06:00"
124.1,17.6,/Date(1693213200000)/,50,940,9,2023-08-28 09:00:00,"August 28, 2023 09:00"
124.1,17.8,/Date(1693224000000)/,50,940,9,2023-08-28 12:00:00,"August 28, 2023 12:00"
124.0,18.0,/Date(1693234800000)/,48,945,11,2023-08-28 15:00:00,"August 28, 2023 15:00"
