LONGITUDE,LATITUDE,ISSUEDATE,WIND,AIRPRESSURE,MOVESPEED,PARSED_DATE,ENGLISH_DATE
114.2,12.0,/Date(1665630000000)/,15,1002,15,2022-10-13 03:00:00,"October 13, 2022 03:00"
113.7,12.5,/Date(1665640800000)/,15,1002,12,2022-10-13 06:00:00,"October 13, 2022 06:00"
113.3,13.0,/Date(1665651600000)/,15,1000,18,2022-10-13 09:00:00,"October 13, 2022 09:00"
113.3,13.3,/Date(1665662400000)/,15,1000,23,2022-10-13 12:00:00,"October 13, 2022 12:00"
113.1,13.5,/Date(1665673200000)/,15,1000,25,2022-10-13 15:00:00,"October 13, 2022 15:00"
112.7,13.7,/Date(1665684000000)/,15,1000,23,2022-10-13 18:00:00,"October 13, 2022 18:00"
112.1,14.1,/Date(1665694800000)/,15,1000,20,2022-10-13 21:00:00,"October 13, 2022 21:00"
111.9,14.2,/Date(1665705600000)/,15,1000,17,2022-10-14 00:00:00,"October 14, 2022 00:00"
111.4,14.2,/Date(1665716400000)/,15,1000,17,2022-10-14 03:00:00,"October 14, 2022 03:00"
111.4,14.2,/Date(1665727200000)/,18,998,22,2022-10-14 06:00:00,"October 14, 2022 06:00"
111.3,14.4,/Date(1665730800000)/,18,998,20,2022-10-14 07:00:00,"October 14, 2022 07:00"
111.1,14.6,/Date(1665734400000)/,18,998,18,2022-10-14 08:00:00,"October 14, 2022 08:00"
111.0,14.7,/Date(1665738000000)/,18,998,24,2022-10-14 09:00:00,"October 14, 2022 09:00"
110.7,14.9,/Date(1665741600000)/,18,998,21,2022-10-14 10:00:00,"October 14, 2022 10:00"
110.5,15.0,/Date(1665745200000)/,18,998,21,2022-10-14 11:00:00,"October 14, 2022 11:00"
110.3,15.0,/Date(1665748800000)/,18,998,24,2022-10-14 12:00:00,"October 14, 2022 12:00"
110.1,15.0,/Date(1665752400000)/,18,998,24,2022-10-14 13:00:00,"October 14, 2022 13:00"
109.9,15.0,/Date(1665756000000)/,18,998,24,2022-10-14 14:00:00,"October 14, 2022 14:00"
109.6,15.1,/Date(1665759600000)/,18,998,25,2022-10-14 15:00:00,"October 14, 2022 15:00"
109.4,15.1,/Date(1665763200000)/,18,998,25,2022-10-14 16:00:00,"October 14, 2022 16:00"
109.2,15.1,/Date(1665766800000)/,18,998,25,2022-10-14 17:00:00,"October 14, 2022 17:00"
109.0,15.2,/Date(1665770400000)/,18,998,21,2022-10-14 18:00:00,"October 14, 2022 18:00"
108.8,15.3,/Date(1665774000000)/,18,998,21,2022-10-14 19:00:00,"October 14, 2022 19:00"
108.4,15.3,/Date(1665777600000)/,15,1000,25,2022-10-14 20:00:00,"October 14, 2022 20:00"
108.3,15.3,/Date(1665781200000)/,15,1000,15,2022-10-14 21:00:00,"October 14, 2022 21:00"
