LONGITUDE,LATITUDE,ISSUEDATE,WIND,AIRPRESSURE,MOVESPEED,PARSED_DATE,ENGLISH_DATE
121.1,18.4,/Date(1689303600000)/,15,1000,9,2023-07-14 03:00:00,"July 14, 2023 03:00"
120.2,18.2,/Date(1689314400000)/,15,1000,9,2023-07-14 06:00:00,"July 14, 2023 06:00"
119.4,17.7,/Date(1689325200000)/,15,1000,8,2023-07-14 09:00:00,"July 14, 2023 09:00"
119.2,17.7,/Date(1689336000000)/,15,1000,6,2023-07-14 12:00:00,"July 14, 2023 12:00"
119.0,17.7,/Date(1689346800000)/,15,1000,8,2023-07-14 15:00:00,"July 14, 2023 15:00"
118.9,17.8,/Date(1689357600000)/,15,1000,8,2023-07-14 18:00:00,"July 14, 2023 18:00"
118.6,17.9,/Date(1689368400000)/,15,1000,11,2023-07-14 21:00:00,"July 14, 2023 21:00"
118.6,17.9,/Date(1689379200000)/,18,998,14,2023-07-15 00:00:00,"July 15, 2023 00:00"
118.5,18.0,/Date(1689382800000)/,18,998,14,2023-07-15 01:00:00,"July 15, 2023 01:00"
118.4,18.0,/Date(1689386400000)/,18,998,12,2023-07-15 02:00:00,"July 15, 2023 02:00"
118.3,18.0,/Date(1689390000000)/,18,998,14,2023-07-15 03:00:00,"July 15, 2023 03:00"
118.3,18.0,/Date(1689393600000)/,18,998,14,2023-07-15 04:00:00,"July 15, 2023 04:00"
118.2,18.0,/Date(1689397200000)/,18,998,14,2023-07-15 05:00:00,"July 15, 2023 05:00"
118.2,18.0,/Date(1689400800000)/,18,998,14,2023-07-15 06:00:00,"July 15, 2023 06:00"
118.1,18.1,/Date(1689404400000)/,18,998,12,2023-07-15 07:00:00,"July 15, 2023 07:00"
117.9,18.2,/Date(1689408000000)/,18,998,10,2023-07-15 08:00:00,"July 15, 2023 08:00"
117.8,18.3,/Date(1689411600000)/,18,998,13,2023-07-15 09:00:00,"July 15, 2023 09:00"
117.8,18.4,/Date(1689415200000)/,18,998,13,2023-07-15 10:00:00,"July 15, 2023 10:00"
117.7,18.4,/Date(1689418800000)/,18,998,12,2023-07-15 11:00:00,"July 15, 2023 11:00"
117.6,18.4,/Date(1689422400000)/,20,995,13,2023-07-15 12:00:00,"July 15, 2023 12:00"
117.5,18.4,/Date(1689426000000)/,20,995,12,2023-07-15 13:00:00,"July 15, 2023 13:00"
117.4,18.5,/Date(1689429600000)/,20,995,13,2023-07-15 14:00:00,"July 15, 2023 14:00"
117.3,18.5,/Date(1689433200000)/,20,995,14,2023-07-15 15:00:00,"July 15, 2023 15:00"
117.2,18.6,/Date(1689436800000)/,20,995,14,2023-07-15 16:00:00,"July 15, 2023 16:00"
117.1,18.6,/Date(1689440400000)/,20,995,14,2023-07-15 17:00:00,"July 15, 2023 17:00"
117.0,18.6,/Date(1689444000000)/,25,985,14,2023-07-15 18:00:00,"July 15, 2023 18:00"
116.9,18.6,/Date(1689447600000)/,25,985,14,2023-07-15 19:00:00,"July 15, 2023 19:00"
116.8,18.6,/Date(1689451200000)/,25,985,14,2023-07-15 20:00:00,"July 15, 2023 20:00"
116.6,18.7,/Date(1689454800000)/,25,985,15,2023-07-15 21:00:00,"July 15, 2023 21:00"
116.5,18.7,/Date(1689458400000)/,25,985,15,2023-07-15 22:00:00,"July 15, 2023 22:00"
116.4,18.8,/Date(1689462000000)/,25,985,15,2023-07-15 23:00:00,"July 15, 2023 23:00"
116.4,18.9,/Date(1689465600000)/,25,985,15,2023-07-16 00:00:00,"July 16, 2023 00:00"
116.2,18.9,/Date(1689469200000)/,25,985,15,2023-07-16 01:00:00,"July 16, 2023 01:00"
115.9,18.9,/Date(1689472800000)/,25,985,15,2023-07-16 02:00:00,"July 16, 2023 02:00"
115.7,19.0,/Date(1689476400000)/,25,985,15,2023-07-16 03:00:00,"July 16, 2023 03:00"
115.6,19.0,/Date(1689480000000)/,25,985,15,2023-07-16 04:00:00,"July 16, 2023 04:00"
115.5,19.0,/Date(1689483600000)/,25,985,15,2023-07-16 05:00:00,"July 16, 2023 05:00"
115.4,19.1,/Date(1689487200000)/,28,982,17,2023-07-16 06:00:00,"July 16, 2023 06:00"
