LONGITUDE,LATITUDE,ISSUEDATE,WIND,AIRPRESSURE,MOVESPEED,PARSED_DATE,ENGLISH_DATE
165.5,20.9,/Date(1668254400000)/,18,998,10,2022-11-12 12:00:00,"November 12, 2022 12:00"
165.6,21.7,/Date(1668276000000)/,20,995,10,2022-11-12 18:00:00,"November 12, 2022 18:00"
165.7,22.0,/Date(1668286800000)/,20,995,8,2022-11-12 21:00:00,"November 12, 2022 21:00"
166.1,22.1,/Date(1668297600000)/,20,995,9,2022-11-13 00:00:00,"November 13, 2022 00:00"
166.1,22.2,/Date(1668319200000)/,20,995,12,2022-11-13 06:00:00,"November 13, 2022 06:00"
165.9,22.5,/Date(1668330000000)/,20,995,12,2022-11-13 09:00:00,"November 13, 2022 09:00"
165.8,22.9,/Date(1668340800000)/,20,995,14,2022-11-13 12:00:00,"November 13, 2022 12:00"
165.6,23.6,/Date(1668362400000)/,20,995,20,2022-11-13 18:00:00,"November 13, 2022 18:00"
165.6,23.6,/Date(1668373200000)/,20,995,28,2022-11-13 21:00:00,"November 13, 2022 21:00"
165.8,23.8,/Date(1668384000000)/,20,995,29,2022-11-14 00:00:00,"November 14, 2022 00:00"
