LONGITUDE,LATITUDE,ISSUEDATE,WIND,AIRPRESSURE,MOVESPEED,PARSED_DATE,ENGLISH_DATE
131.7,22.5,/Date(1693926000000)/,18,1000,39,2023-09-05 15:00:00,"September 05, 2023 15:00"
132.2,23.4,/Date(1693936800000)/,18,1000,34,2023-09-05 18:00:00,"September 05, 2023 18:00"
132.5,24.2,/Date(1693947600000)/,18,1000,37,2023-09-05 21:00:00,"September 05, 2023 21:00"
133.1,25.5,/Date(1693958400000)/,20,998,31,2023-09-06 00:00:00,"September 06, 2023 00:00"
134.3,26.4,/Date(1693980000000)/,20,998,30,2023-09-06 06:00:00,"September 06, 2023 06:00"
134.6,27.2,/Date(1693990800000)/,20,998,28,2023-09-06 09:00:00,"September 06, 2023 09:00"
134.8,27.7,/Date(1694001600000)/,20,998,28,2023-09-06 12:00:00,"September 06, 2023 12:00"
135.4,28.5,/Date(1694023200000)/,20,998,25,2023-09-06 18:00:00,"September 06, 2023 18:00"
136.2,29.1,/Date(1694034000000)/,20,995,25,2023-09-06 21:00:00,"September 06, 2023 21:00"
136.4,29.6,/Date(1694044800000)/,20,995,24,2023-09-07 00:00:00,"September 07, 2023 00:00"
137.0,30.8,/Date(1694066400000)/,20,995,20,2023-09-07 06:00:00,"September 07, 2023 06:00"
137.2,31.6,/Date(1694077200000)/,20,995,18,2023-09-07 09:00:00,"September 07, 2023 09:00"
137.3,32.1,/Date(1694088000000)/,20,995,16,2023-09-07 12:00:00,"September 07, 2023 12:00"
137.3,32.6,/Date(1694109600000)/,20,995,14,2023-09-07 18:00:00,"September 07, 2023 18:00"
137.3,33.0,/Date(1694120400000)/,20,995,12,2023-09-07 21:00:00,"September 07, 2023 21:00"
137.3,33.0,/Date(1694131200000)/,20,995,14,2023-09-08 00:00:00,"September 08, 2023 00:00"
137.3,33.0,/Date(1694152800000)/,18,998,16,2023-09-08 06:00:00,"September 08, 2023 06:00"
137.7,33.2,/Date(1694163600000)/,15,1000,8,2023-09-08 09:00:00,"September 08, 2023 09:00"
